,french,wolof
97,"Ce boeuf-là, en totalité.",Nag woowa wépp.
98,Toute cette part que voici.,Wall wuu wépp.
99,Ce mouton-ci en entier.,Xar mii mépp.
100,Tout ce mouton.,Xar moomee mépp.
101,Toute cette partie.,Xar woowalé wépp.
102,Ce mouton en entier.,Mi xar mépp.
103,Quel mouton en entier ?,Man xar mépp ?
104,Ce mouton-là en entier.,Xar moomule mépp.
105,Va voir tous les hommes !,Seetil nit ñépp !
106,Va voir tous les moutons !,Seetil xar yépp !
107,Va voir tous les chevaux !,Seetil fas yépp !
108,Va voir toutes les vaches !,Seetil nag yépp !
109,J'ai vu tous ces gens.,Gisoon naa nit ñooña ñépp.
110,"J'ai vu tous ces gens, auparavant.",Gisoon naa nit ñooña ñépp.
111,J'ai vu ces gens.,Gisoon naa ñooñale nit ñan.
112,J'ai vu tous ces moutons-ci.,Gisoon naa xar yi yépp.
113,J'ai déjà vu tous les moutons.,Gisoon naa xar yi yépp.
114,J'ai déjà vu tous ces moutons-ci.,Gisoon naa xar yi yépp.
115,Aucun homme ne s'est égaré.,Nit kenn réerul.
116,Aucun mouton ne s'est égaré.,Xar menn réerul.
117,Aucun cheval ne s'est égaré.,Fas wenn réerul.
118,Aucune clef n'est égarée.,Doom benn réerul.
119,Aucune dame ne s'est égarée.,Jigéen jenn réerul.
120,Aucune jeune fille ne s'est égarée.,Ndaw senn réerul.
121,Rien ne s'est égaré.,Lëf lenn réerul.
122,Aucun lion ne s'est égaré.,Gayndé genn réerul.
123,Aucun homme ne s'est égaré.,Kenn nit réerul.
124,Aucun mouton ne s'est égaré.,Menn xar réerul.
125,Aucune dame ne s'est égarée.,Jenn jigéen réerul.
126,Aucun homme n'est venu.,Menn nit ñëwul.
127,Aucun mouton n'est arrivé.,Menn xar ñëwul.
128,J'ai acheté le mouton.,Jënd ñaa menn xar mi.
129,J'ai acheté ce seul mouton !,Jënd ñaa menn xar mi !
130,J'ai acheté cette unique mouton !,Jënd ñaa menn xar mi !
131,Cherche un autre homme !,Seetal nit keneen !
132,Cherche un autre mouton !,Seetal xar meneen !
133,Cherche un autre cheval !,Seetal fas weneen !
134,Cherche une autre maison !,Seetal néeg beneen !
135,Cherche un autre lion !,Seetal gaynde geneen !
136,Cherche une autre jeune fille !,Seetal ndaw seneen !
137,Cherche une autre dame !,Seetal jigéen jeneen !
138,Cherche une autre chose !,Seetal lëf leneen !
139,C'est un autre cheval que je veux !,Weneen fas la bëgg !
140,C'est une autre maison que je veux !,Beneen néeg laa bëgg !
141,C'est un autre lion que je veux !,Geneen gaynde laa bëgg !
142,C'est une autre épouse que je veux !,Jeneen jabar laa bëgg !
143,C'est une autre jeune fille que je veux !,Seneen ndaw laa bëgg !
144,C'est un autre récipient que je veux !,Beneen ndab laa bëgg !
145,C'est un autre homme que je veux !,Meneen nit laa bëgg !
146,L'autre homme est venu.,Nit keneen ki ñëw na.
147,Il parle de l'autre homme.,Keneen nit kooka la wax.
148,C'est l'autre cheval qui s'est égaré.,Fas weneen wu moo daw.
149,Je parle de cet autre homme que voilà !,Nit keneen kaa laa wax !
150,C'est cet autre cheval là-bas qui est bon !,Fas weneen wale moo baax !
151,Quel autre cheval as-tu vu ?,Weneen fas wan ŋga gis ?
152,Tout autre mouton que tu vois.,Meneen xar mépp moo gis.
153,Tous les autres moutons fuirent.,Yeneen xar yi yépp daw.
154,C'est mon ami !,Sama xarit la !
155,C'est ton ami !,Sa xarit la !
156,C'est son ami !,Xaritam la !
157,C'est notre ami !,Suñu sarit la !
158,C'est votre ami !,Seen xarit la !
159,C'est leur ami !,Suñu xarit la !
160,J'ai vu mon ami !,Gis naa sama xarit bi !
161,J'ai vu mes amis !,Gis naa sana xarit yi !
162,J'ai vu mes amis !,Gis naa sama xarit yee !
163,Un ami à moi !,Sama aw xarit !
164,Des amis à moi !,Samay xarit !
165,Mes amis !,Samay xarit !
166,Tu as vu quels amis à moi ?,Gis ŋga samay xarit yan ?
167,Tu as vu lesquels de mes amis ?,Gis ŋga samay xarit yan ?
168,J'ai vu tous tes amis !,Gis naa sa xarit yépp !
169,Il a vu tous tes amis !,Gis na sa xarit yépp !
170,J'ai vu tous vos amis en question !,Gis naa seeni xarit yooyu yépp !
171,Il a vu tous vos amis en question !,Gis na seeni xarit yooyu yépp !
172,J'ai vu d'autres amis à vous !,Gis naa seen yeneen xarit !
173,Il a vu d'autres amis à vous !,Gis na seen yeneen xarit !
174,J'ai vu tes autres amis !,Gis naa sa xarit yeneen yi !
175,Il a vu tes autres amis !,Gis na sa xarit yeneen yi !
176,J'ai vu mes autres amis !,Gis naa sama xarit yeneen yooyuu !
177,Il a vu mes autres amis !,Gis na sama xarit yeneen yooyuu !
178,Je vois l'homme.,Gis naa nit ki.
179,Je vois les gens.,Gis naa nit ñi.
180,Il a vu la dame.,Gis naa jeeg bi.
181,Il a vu les dames.,Gis naa jeeg ji.
182,Je connais l'enfant.,Xam naa xale bi.
183,Je connais les enfants.,Xam naa xale yi.
184,Il a un mouton.,Am na am xar.
185,Il a des moutons.,Am na ay xar.
186,Arrache ces dents-là !,Wekkil gëñ yii !
187,Range les affaires !,Deñcal yëf yi !
188,C'est leurs dents !,Seni gëñ la !
189,De beaux yeux !,Ay bët yu rafet !
190,C'est quelqu'un qui honore l'homme !,Ku teral nit la !
191,Élève un mouton !,Yaral xar !
192,Élève des moutons !,Yaral xar !
193,Tu as vu l'homme ?,Gis ŋga nit ki ?
194,Tu as vu l'homme ?,Gis ŋga nit ki woon ?
195,Tu as vu l'homme dont il fut question ?,Gis ŋga nit ki woon ?
196,Tu as reconnu sa femme ?,Xammee ŋga jabaram joojuwoon ?
197,Tu as reconnu sa femme d'autrefois ?,Xammee ŋga jabaram joojuwoon ?
198,Tu te rappelles son amour ?,Gis ŋga coroom la woon ?
199,Tu te rappelles son amour d'autrefois ?,Gis ŋga coroom la woon ?
200,Tu vois ce garçon-là ?,Gis ŋga xale bii ?
201,"Tu vois, ce garçon-là ?",Gis ŋga xale bii woon ?
202,Tu vois ce garçon-là ?,Gis ŋga xale bii woon ?
203,Tu reconnais ton amour d'autrefois ?,"Xammee ŋga sa far, woowee woon ?"
204,C'est des femmes.,Jigéen lanu.
205,Ce fut un homme !,Nit lawoon !
206,"Ce fut un homme, un vrai !",Nit lawoon !
207,Ils ont été bûcherons.,Laobe lañuwoon.
208,Tu es parti,Dem ŋga
209,Tu es un homme !,Nit ŋga !
210,Nous sommes partis,Dem nañu
211,Nous sommes des hommes !,Nit lañu !
212,Ce fut un homme !,Nit la woon !
213,Il a été,Demoon na
214,C'est un bûcheron.,Lawbe la.
215,C'est un bûcheron.,Aw lawbe la.
216,C'est le bûcheron !,Lawbe bi la !
217,C'est votre bûcheron d'autrefois !,Seen lawbe ba woon la !
218,Il est parti.,Dem na.
219,Sois un être de raison !,Dil nit !
220,Ce n'est pas le tambour !,Du sabar gi !
221,Sois quelqu'un de studieux !,Dil jaŋgkat !
222,C'est l'étudiant.,Moo di jaŋgkat bi.
223,C'était son hôte habituellement.,Moo doon ganam.
224,Tu es quel étudiant ?,Ya di ban jaŋgkat ?
225,Tu es quel genre d'étudiant ?,Ya di ban jaŋgkat ?
226,Quel ami serais-tu pour eux ?,Ya di seen ban xarit ?
227,Si tu es homme,Soo dee góor
228,Si tu es un homme,Soo dee góor
229,Sois homme de ce pays !,Dil nitu réew mi !
230,Sois un homme de ce pays !,Dil nitu réew mi !
231,Sois l'homme de tout le monde !,Dil nitu nit ñi !
232,Sois l'homme de la situation !,Dil nitu nit ñi !
233,Tu étais d'habitude l'hôte de Mustapha,Yaa daan ganu Mustaf
234,Ce n'est pas un grand tambour.,Du sabar gu rëy.
235,Je reconnais une vache d'Europe !,Xammee naa nagu Tugël !
236,Je reconnais les vaches d'Europe !,Xammee naa nagi Tugël !
237,J'ai vu le fils de la dame.,Gis naa doomu ndaw si.
238,J'ai vu les enfants de la dame.,Gis naa doomi jigéen ja.
239,Tu as vu le fils de quelle femme ?,Gis ŋga doomu jigéen jan ?
240,Tu as choisi la fille d'une femme.,Tann ŋga doomu benn jigéen.
241,Tu as choisi la fille d'une autre femme.,Tann ŋga doomu benn jigéen.
242,J'ai vu le fils de l'homme de Gandiole.,Gis naa doomu nitu Gaanjóol gi.
243,J'ai vu la maison de l'ami de Birayim.,Gis naa këru xaritu Biraayim wi.
244,J'ai vu la maison de son ami.,Gis naa kër xaritam.
245,C'est la maison de Birayim.,Kër Biraayim la.
246,C'est un maître de maison.,Boroom kër la.
247,C'est la ville de ce Sérère.,Dëkku Séeréer bii la.
248,C'est cette ville de Sérère.,Gii dëkku Séeréer la.
249,Tu parles de quelle ville Sérère ?,Gan dëkku Séeréer ŋga wax ?
250,Tu parles de la ville de quel Sérère ?,Dëkku Séeréer ban ŋga wax ?
251,Tout village Sérère est propre !,Béppu dëkku Séeréer set na !
252,Le village de tout Sérère est propre !,Dëkku béppu Séeréer set na !
253,Il n'est Ardo d'aucun Dieri que tu ne connaisses !,Amul ardo benn Jéeri boo xamul !
254,J'ai vu l'ovin mâle.,Gis naa xar mu góor ma.
255,J'ai vu le mouton mâle.,Gis naa xar mu góor ma.
256,Il a tué une lionne.,Ray na gaynde gu jigéen.
257,Il a tué les lionnes.,Ray na gaynde yu jigéen ya.
258,Choisis une jument du Wâlo.,Tannal fasu Waalo wu jigéen.
259,C'est un homme.,Nit ku góor la.
260,C'est un homme généreux !,Nit ku baax la !
261,C'est quelqu'un de bien !,Nit ku baax la !
262,C'est un homme qui fut bon !,Nit ku baaxoon la !
263,C'est un homme qui n'est pas bon !,Nit ku baaxul la !
264,C'est un homme qui eût été bon !,Nit ku baaxkoon la !
265,C'est cet homme qui eût été bon !,Nit ki baaxkoon la !
266,C'est cet homme-là qui eût été bon !,Nit kooka baaxkoon la !
267,Tu es un homme simplement !,Nit doŋŋ ŋga !
268,Tu es uniquement un homme !,Nit doŋŋ ŋga !
269,Vous êtes des enfants seulement !,Xaleel rekk ŋgeen !
270,C'est un homme mûr véritablement !,Mag dëgg là !
271,L'homme peut-il partir ?,Góor gi dem ?
272,Que la personne sorte ?,Ndax waa ji génn ?
273,C'est moi qui vais partir,Maay dem
274,Peut-il partir ?,Mu dem ?
275,Qui a été ?,Ku dem ?
276,Afin qu'il se passe quoi ?,Ndax lan am ?
277,Quelqu'un peut-il partir ?,Ndax kenn dem ?
278,Alors celui-ci s'en alla !,Noona kooku dem !
279,Cet homme qui a été,Góor gii demoon
280,Voila que j'ai été,Maa ŋgii demoon
281,C'est ce qu'il a dit !,Li mu waxoon la !
282,C'est ce qu'il a dit qui est vrai !,Li mu waxoon la !
283,Si l'homme accepte,Su góor gi bëggée
284,C'est quand tu es venu,Bi ŋga ñëwée la
285,C'est lui qui serait allé,Moo demkoon
286,L'homme n'a pas été,Góor gi demul
287,C'est toi qui n'a pas été,Yaa demulwoon
288,Qui ne serait pas allé,Ku demkoonul
289,Celui-là est parti,Kooku dem na
290,D'autre sont partis,Ñeñeen dem nañu
291,Lui il est parti,Moom dem na
292,L'homme avait été,Góor gi demoon na
293,L'homme eut été,Góor gi demkoon na
294,L'homme partit,Góor gi dem
295,Que l'homme parte ?,Góor gi dem ?
296,L'homme est parti,Gor gi dem na
297,Les hommes ne t'ont pas vu,Góor ñi gisuñu la
298,Que l'homme parte,Na gor gi dem
299,Que tu partes,Na ŋga dem
300,C'est toi qui es parti,Yaa demoon ?
301,Qu'il ne parte pas,Bu mu dem
302,Ne partez pas,Buleen dem
303,Alors il partit,Noona mu dem
304,"S'il parle, je viens",Su waxee më ñëw
305,C'est lorsque tu t'en allas.,Ba ŋga demee la.
306,C'est lorsque la femme arriva,Bi jigéen ji ñëwée la
307,Je serais parti,Demkoon naa
308,Vous seriez morts,Deekoon ŋgeen
309,L'homme serait mort,Góor gi deekoon na
310,L'homme qui eût travaillé,Waa ji liggéeykoon
311,Ce qu'il eût fait,Li mu defkoon
312,Car c'est toi qui eûsses été heureux.,Ndax yaa begkoon.
313,Tu aurais été sans l'y trouver.,Ya ŋgi demkoon doo ka fa fekk.
314,C'est l'homme qui serait venu,Góor gi moo ñëwkóon
315,Il demande si tu aurais été,Mi ŋgiy laaj ndax demkoon ŋga
316,Viens !,Kaay !
317,Vas-y !,Dem fa !
318,Va le voir !,Seeti ka !
319,Va les voir !,Gisi leen !
320,Cherche-les à l'intérieur,Wut leen ci biir
321,Va !,Démal !
322,Sors !,Génnal !
323,Fais sortir,Génnéel
324,Venez !,Kaayleen !
325,Allez là-bas !,Demleen foofu !
326,Dites-lui,Nileen ka
327,Dites-leur,Nileen leen
328,Mais cet homme est parti,Gor gii dem
329,Cet homme qui a été,Gor gii dem
330,Que cet homme parte ?,Gor gii dem ?
331,C'est lui qui est parti,Moo dem
332,Voilà que j'ai été pour rien !,Maa ŋgi dem ci dara !
333,C'est lui qui aime,Moo bëgg
334,Voilà qu'il a été et qu'il est revenu,Mi ŋgii dem ba delusi
335,Où a-t-il été ?,Fu mu dem ?
336,Où veut-il,Fu mu bëgg
337,Quelle partie veut-il,Fu mu bëgg
338,Qu'il ne parte pas,Bu ñu dem
339,L'homme veut,Góor gi bëgg na
340,"Vous, vous avez été",Yéen dem ŋgeen
341,"Vous, vous voulez",Yéen bëgg ŋgeen
342,L'homme ne part pas,Góor gi demul
343,L'homme ne veut pas,Góor gi bëggul
344,L'homme n'a pas voulu,Góor gi bëggul
345,S'ils ne veulent pas,Suñu bëggul
346,Je n'irai pas,Demuma
347,Je n'ai pas été,Demuma
348,Je ne veux pas,Bëgguma
349,"Si l'homme vient, tout ira !",Su góor gi nëwée lépp baax !
350,"Quand on ira, tout ira !",Bu nu demee lépp baax !
351,C'est quand tu as été.,Bi ŋga demee la.
352,C'est à l'époque où mourut cet homme.,Ba waa ji dee la.
353,Cet homme qui était parti,Góor gii demoon
354,Cet homme qui aimait,Góor gii bëggóon
355,Cet homme qui avait voulu,Góor gii bëggóon
356,Cet homme qui voulait,Góor gii bëggóon
357,C'est lui qui avait été,Moo demoon
358,Voilà que tu as été dans un lieu interdit.,Yaa ŋgii demoon fu ñu la tere.
359,Où avait-il été ?,Fu mu demoon ?
360,Comme il avait ainsi été en ce lieu,Noonu mu demoon foofa
361,S'il avait été,Su demoon
362,S'il n'avait pas été,Bu demulwoon
363,L'homme n'a pas été,Waa ji demulwoon
364,L'homme qui eut été,Góor gi demkoon
365,C'est toi qui serais venu,Yaa ñëwkóon
366,Ce qu'il aurait à faire,Li mu defkoon
367,Tu serais parti,Demkoon ŋga
368,L'individu serait parti,Waa ji demkoon na
369,L'individu devait partir,Waa ji demkoon na
370,Va !,Demal !
371,Allez !,Demleen !
372,C'est lui qui allait,Moo doon dem
373,C'est lui qui allait habituellement,Moo daan dem
374,C'est moi qui pars,Maa di dem
375,C'est moi qui dois partir,Maa di dem
376,C'est le Laobe.,Moo di Lawbe bi.
377,L'homme cultive,Góor gi di bày
378,Mais l'homme cultive,Góor gi di bày
379,L'homme ne cultivera pas,Góor gi du bày
380,L'homme ira,Góor gi dana dem
381,L'homme ira,Góor gi dana demi
382,C'est moi qui n'ai pas été,Maa demul
383,L'homme n'a pas été,Góor gi moo demul
384,Cette personne n'a pas été,Waa jii moo demul
385,Personne n'était venu,Yéena dikkulwoon
386,C'est lui qui n'eût pas été,Moo demkoonul
387,Moi je n'ai pas été,Man demuma
388,Moi je n'irai pas,Man demuma
389,"Toi, tu n'as pas été",Yaa ŋgi demuloo
390,"Toi que voilà, tu n'as pas été",Yaa ŋgi demuloo
391,"L'homme est là, il ne vint pas",Góor gaa ŋgi dikkul
392,Je ne vous eusse pas vus,Giskóonuma leen
393,"Vous, vous n'avez pas été",Yéen demuleenwoon
394,Il ne les avait pas vus,Gisu leen woon
395,Vous ne les aviez pas vus,Gisu leen leen woon
396,Vous n'y aviez vu personne,Gisu leen fa kenn
397,Tu n'y avais vu personne,Gisuleen fa woon kenn
398,Je n'aurais pas été,Demkoonuma
399,Nous n'aurions pas parlé,Waxkoonuñu
400,Nous ne l'eussions pas vu,Giskoonuñu ka
401,Il ne t'avait pas vu,Gisu la woon
402,Je n'y avais pas été,Demuma fa woon
403,C'est moi le professeur.,Maa di jaŋgalékat bi.
404,Cela c'est un baobab.,Loolu di guy.
405,L'homme qui parle,Góor gii di wax
406,Cette personne qui parle,Waa ji di wax
407,L'homme qui part,Góor gi di dem
408,L'homme partant,Góor gi di dem
409,Cet homme qui part,Góor gii di dem
410,Góor giy dem,Góor gi di dem
411,L'individu était un Laobe.,Waa ji doon Lawbe.
412,Il était Lebou de Yoff.,Mu doon Lebu Yoff.
413,C'était un Lebou.,Mu doon Lebu Yoff.
414,C'est lui qui parlait,Moo doon wax
415,Le voilà qui partait,Ma ŋgee doon dem
416,C'est vous qui alliez partir,Yeena doon dem
417,C'est toi qui avais l'habitude d'aller,Yaa daan dem
418,L'homme qui travaillait d'habitude,Góor gi daan liggéey
419,C'est toi qui avais l'habitude d'aller,Yaa daawoon dem
420,Celui-là qui avait l'habitude d'aller,Kooku daawoon dem
421,L'homme qui avait l'habitude d'aller,Góor gii daawoon dem
422,Alors qu'il sera en train de partir,Su dee dem
423,S'il part,Su dee dem
424,S'il est parti,Su demee
425,Une fois là-bas,Su demee
426,S'il part,Su demee
427,Une fois en chemin,Su dee dem
428,Quand il partira,Su dee dem
429,Lorsqu'il a été,Bi mu demee
430,S'il est Laobe,Su dee Lawbe
431,S'il est Laobe de Rao,Su dee Lawbe Rao
432,Si celui-ci est fils de Birayim,Su kii dee doomu Birayim
433,C'est toi qui aurais parlé,Yaa doonkoon wax
434,C'est toi qui eusses été élu,Yaa doonkoon falu
435,C'est moi qui ne pars pas,Maa dul dem
436,Appelle l'homme qui ne part pas,Wool góor gi dul dem
437,Appelle celui-là qui ne part pas,Wool kee dul dem
438,Appelle celui-là qui ne partira pas,Wool kee dul dem
439,C'est lui qui n'est pas Laobe du Baol.,Moo dul Lawbe Bawal.
440,Appelle les enfants qui n'iront nulle part.,Wool xale yi dul dem fenn.
441,"S'il ne vient pas, il verra !",Su ñëwul dana xam !
442,"S'il ne vient pas, eh bien, il verra !",Su ñëwul dana xam !
443,S'il n'était pas Laobe,Su dulwoon Lawbe
444,C'est ce personnage qui n'allait pas partir,Waa ji moo dulwoon dem
445,C'est lui qui n'avait pas l'habitude de venir,Moo dawulwoon ñëw
446,"L'homme ne parlait pas, habituellement.",Góor gi daawul wax.
447,J'irai,Danaa dem
448,Eux parleront,Ñoom danañu wax
449,L'homme partira,Góor gi dana dem
450,Les femmes accepteront,Jigéen ñi danañu naŋgu
451,Sois homme de vérité !,Dil nitu dëgg !
452,Tais-toi !,Dil noppi !
453,Je n'irai pas,Duma dem
454,L'homme ne rentrera pas chez lui.,Góor gi du ñibbi.
455,L'homme n'est pas un orfèvre.,Góor gi du tëggu wurus.
456,Tu ne viendras pas ?,Doo ñëw ?
457,Tu n'es pas homme de paix !,Doo nitu jamm !
458,Tu n'es pas un homme de paix !,Doo nitu jamm !
459,Vous ne mangez pas,Duŋgeen lekk
460,Ils ne vont pas manger,Duñu lekki
461,Ce n'était pas un homme de Saint-Louis.,Du woon góoru Ndar.
462,Il ne serait pas parti,Du woon dem
463,Vous ne seriez pas venus,Duŋgeen woon ñëw
464,"Tu ne bavardais pas, en général.",Yaw daawuloo coow.
465,"Les gens n'étaient pas, habituellement, bavards.",Nit ñi daawuñu coow.
466,"Tu ne bavardais pas, généralement.",Daawuloo woon coow.
467,"Ceux-ci n'allaient pas, généralement.",Ñii daawuñu dem.
468,L'homme eût été un savant.,Góor gi doonkoon na boroom xamxam.
469,Toi tu eusses été notre guide.,Yaw doonkoon ŋga suñu njiit.
470,Les gens n'eussent pas été des maîtres.,Nit ñi doonkoonuñu ay kaaŋ.
471,Il est parti,Dafa dem
472,"L'homme, il n'est pas parti ?",Gor gi dafa demul ?
473,Ceux-ci ne sont pas partis ?,Ñii dañu demul ?
474,Ceux-là n'ont pas été,Nee dañu demul woon
475,Celui-ci serait parti,Kii dafa demkoon
476,Celui-ci allait partir,Kii dafa demkoon
477,C'est ceux-là qui n'eussent pas été,Ñee dañu demulkoon
478,C'est un homme de son époque.,Dafa di nitu tay.
479,C'est lui qui part.,Dafa di dem.
480,Il doit partir.,Dafa di dem.
481,C'est un homme de vérité.,Dafa doon nitu dëgg.
482,Il travaillait.,Dafa doon liggéey.
483,Tu ne travaillais pas d'habitude.,Daŋga daawul liggéey.
484,Nous serions des gens de fortune.,Dañu doonkoon nitu alal.
485,C'est moi qui ai été,Maa dem
486,C'est que j'ai été,Dama dem
487,C'est que j'ai effectivement été,Dama dem
488,J'ai été,Dem naa
489,C'est moi qui pars,Maay dem
490,Moi je partirai,Damay dem
491,Moi je partirai,Dama di dem
492,Je partirai,Dinaa dem
493,Il a l'habitude d'aller,Dana di dem
494,Il avait l'habitude de sortir.,Daan na di génn.
495,Il ne se manifestait pas d'habitude.,Daawul di feeñu.
496,C'est lui qui avait l'habitude de travailler.,Moo daawoon di liggéey.
497,Il m'a vu moi-même.,Gis na ma man mi.
498,Il m'a vu moi-même que voilà.,Gis na ma man mi.
499,Je parle de toi-même.,Yaw moomu laa wax.
500,C'est nous-même qu'il cherche.,Ñun ñii lay set.
501,Il parle de vous ?,Yéen ñan la wax ?
502,Il parle de qui de vous ?,Yéen ñan la wax ?
503,Il parle desquels de vous ?,Yéen ñan la wax ?
504,Il parle desquelles de vous ?,Yéen ñan la wax ?
505,Je parle de vous tous !,Yéen ñépp laa wax !
506,Je ne parle que de toi.,Yaw doŋŋ laa wax.
507,Je parle de toi seul.,Yaw doŋŋ laa wax.
508,Je te parle à toi fils de Massar.,Yawum Masaar laa wax.
509,Toi tu as été,Yaw dem ŋga
510,L'homme a causé avec toi.,Góor gi waxtaan na ag yaw.
511,L'homme a parlé avec toi.,Góor gi waxtaan na ag yaw.
512,"Samba, toi, tu as été","Samba, yaw, yaa dem"
513,"C'est toi qui l'as vu, lui.",Yaa ka gis moom.
514,"C'est toi qui l'as vu, lui, Samba.",Yaa ka gis moom Samba.
515,Il m'a vu !,Gis na ma !
516,Il ne te parle pas.,Waxu la.
