french_corpus,wolof_corpus
"Dans la case que nous habitions (le mot case a quelque chose de colonial qui peut aujourd'hui choquer, mais qui décrit bien le logement de fonction que le gouvernement anglais avait prévu pour les médecins militaires, une dalle de ciment pour le sol, quatre murs de parpaing sans crépi, un toit de tôle ondulée recouvert de feuilles, aucune décoration, des hamacs accrochés aux murs pour servir de lits et, seule concession au luxe, une douche reliée par des tubes de fer à un réservoir sur le toit que chauffait le soleil), dans cette case, donc, il n'y avait pas de miroirs, pas de tableaux, rien qui pût nous rappeler le monde où nous avions vécu jusque-là. Un crucifix que mon père avait accroché au mur, mais sans représentation humaine. C'est là que j'ai appris à oublier. Il me semble que c'est de l'entrée dans cette case, à Ogoja, que date l'effacement de mon visage, et des visages de tous ceux qui étaient autour de moi.","Ñu ngi dëkkoon ci benn néegu-ňax. Baatu “néegu-ňax” bii sax ñàkkul mu am ñu ko naqarlu ndax li muy fàttali jamono tubaab yi. Moonte noonu rekk lañ mën a tudde kër yooyu nguurug Àngalteer daan jagleel ñi ko daan fajal ay soldaaram. Amul kër gu ko fa dàqoon waaye li mu doon rafet yépp dara amu fa woon su weesoo benn dërub simoŋ, ňeenti miiri móol yu ňu pentuurul, jànqub seng ak i njoowaan yu kowe yu nu daan fanaan. Néegu-ňax bii may wax, amul i seetu, amul i nataal, amul dara lu nu mën a fàttali Tugal ga nu bawoo teersi Afrig. Xanaa boog kurwaa bi sama baay lonkoon ci benn miir te sax jëmmu Yéesu Kiris feeñu ci. Ci buntu néegu-ňaxu Ogosaa boobu laa jàngee fàtte. Fa la sama xar-kanam nee mes bés, yóbbaale xar-kanami mbooleem ňi ma jege woon."
"De ce temps, pour ainsi dire consécutivement, date l'apparition des corps.","Ay yarami nit di ma feeňu, nag."
"Mon corps, le corps de ma mère, le corps de mon frère, le corps des jeunes garçons du voisinage avec qui je jouais, le corps des femmes africaines dans les chemins, autour de la maison, ou bien au marché, près de la rivière.","Sama yaram, sama yaramu yaay, sama yaramu mag ju góor, yarami xale yi nu daan fowandool, yaramu jigéen ňi nu daan dajeel ci wetu kër gi, ca ja ba mbaa ca tàkkal dex ga."
"Leur stature, leurs seins lourds, la peau luisante de leur dos.",Seen jëmm. Seeni ween yu diis. Seen der yiy melax. Seen diggu-ginnaaw.
"Le sexe des garçons, leur gland rose circoncis.",Cucu gone yi ñu xarafal ak seen ndéeň lu xonq.
"Des visages sans doute, mais comme des masques de cuir, endurcis, couturés de cicatrices, de marques rituelles.","Kanam yi tamit. Dëgër këcc ni der, ak seeni ňaas, doon i màndargay cosaan."
"Les ventres saillants, le bouton du nombril pareil à un galet cousu sous la peau.","Seen biir yu dëll yi, seen jumbax yi mel ni xeer wu ñu leen ëwal ci seen koll."
"L'odeur des corps aussi, le toucher, la peau non pas rude mais chaude et légère, hérissée de milliers de poils.","Fàttewuma xetu yaram yi. Yaram yu mel ni lu wow koŋŋ, fekk ñoo fi gën a woyof, nugg te bariy kawar, sëq ba nga ni lii lu mu doon."
"J'ai cette impression de la grande proximité, du nombre des corps autour de moi, quelque chose que je n'avais pas connu auparavant, quelque chose de nouveau et de familier à la fois, qui excluait la peur.","Yaram yu bare yi ma wër ba ma réer ci seen biir, lu bees la ci man waaye teewul léeg-léeg ma dem ba yaakaar ni lu ma yàgg a miin la. Looloo tax, xam naa, masumaa yëg sax luy nirook tiitaange."
"En Afrique, l'impudeur des corps était magnifique.","Ca Afrig, ňàkk kersag yaram yi lu yéemoon na ma lool."
"Elle donnait du champ, de la profondeur, elle multipliait les sensations, elle tendait un réseau humain autour de moi.","Daan na yaatal, di xóotal, tey yokk yëg-yëg."
"Elle s'harmonisait avec le pays ibo, avec le tracé de la rivière Aiya, avec les cases du village, leurs toits couleur fauve, leurs murs couleur de terre.","Daan na maasaloo yit ak réewu Ibo yi, seeni néegi-ñax yaak dexug Ayaa, ba ca sax jànq yaak miir ya amoon melo suuf."
"Elle brillait dans ces noms qui entraient en moi et qui signifiaient beaucoup plus que des noms de lieux : Ogoja, Abakaliki, Enugu, Obudu, Baterik, Ogrude, Obubra.","May yëgaat ni muy nes-nesilee ay tur yu may miirloo, daanaka, ndax ni ñuy jéggee turi dëkk yiy wéy : Ogosaa, Abaakaliki, Enugu, Baterig, Ógurude, Ódubraa."
Elle imprégnait la muraille de la forêt pluvieuse qui nous enserrait de toutes parts.,"Li ma tudde sànq ñàkk-kersay yaram yi, mook taw bu mettee-metti ñoo daan faral a ànd, mel ni nit keek takkandeeram."
"Quand on est enfant, on n'use pas de mots (et les mots ne sont pas usés).","Gone, du jëfandikooy baat. Rax-ci-dolli, baat bu nekk day wéy di bees ci moom ba fàww."
"Je suis en ce temps-là très loin des adjectifs, des substantifs.",Amu ci woon benn bu ma xam naka la ko nëwu biy tudde.
"Je ne peux pas dire ni même penser : admirable, immense, puissance.","Kàddu yu deme ni « yéeme », « yaatu » walla « kàttan », mënu ñoo génne sama gémmiñ. Xajuñu sax ci sama biir bopp."
Mais je suis capable de le ressentir.,Waaye yëg-yëg baa ngi fi ba tey.
"À quel point les arbres aux troncs rectilignes s'élancent vers la voûte nocturne fermée au-dessus de moi, enfermant comme dans un tunnel la brèche sanglante de la route de latérite qui va d'Ogoja vers Obudu, à quel point dans les clairières des villages je ressens les corps nus, brillants de sueur, les silhouettes larges des femmes, les enfants accrochés à leur hanche, tout cela qui forme un ensemble cohérent, dénué de mensonge.","Dàtti garab yaa ngi lunk, sànneeku jëm ca kow, def mbaarum lëndëm, wër ma. Lépp lañ wër sax. Maa ngi gisaat xur wi ubbiw yoon wu xonq ni deret diggante Ogosaak Óbudu. Maa ngi gisaat waa dëkk beek seen yarami neen, ay yaram yu ñaq bay nesnesi. Fàttewuma jeeg yu am yax ya, ku ci nekk boot doom. Boot ? Mënees nañ ko waxe noonu wànte li am dëgg moo di ne dañuy takk gone gi ci seen ndigg. Saa yu ma gëmmee di jéem a dekkali démb, ñu déggoo may feeñu, ay nit ñu ànd doon benn te kenn xamu ci lu tappale tekki."
"L'entrée dans Obudu, je m'en souviens bien : la route sort de l'ombre de la forêt et entre tout droit dans le village, en plein soleil.","Sooy dugg Óbudu, dangay won àll bi ginnaaw. Noonu lanu def bés ban fa njëkkee teg tànk, nestuut nu séen jant bi, daldi xam ni yeg nanu."
"Mon père a arrêté son auto, avec ma mère il doit parler aux officiels.","Ci lan wàccee woto bi, samay way-jur dem nuyoonteek kilifay dëkk bi."
"Je suis seul au milieu de la foule, je n'ai pas peur.","Ma nekk gone gu tuuteek sama weexaay : mënuma réer ci mbooloo mi, fu nit tollu di ma séen. Wànte taxumaa tiit benn yoon."
"Les mains me touchent, passent sur mes bras, sur mes cheveux autour du bord de mon chapeau.","Maa ngi yëg ni ma nit ñiy làmbatoo, ni ñuy xëcce sama loxo, di laal it samay karaw."
"Parmi tous ceux qui se pressent autour de moi, il y a une vieille femme, enfin je ne sais pas qu'elle est vieille. Je suppose que c'est d'abord son âge que je remarque, parce qu'elle diffère des enfants nus et des hommes et des femmes habillés plus ou moins à l'occidentale que je vois à Ogoja.","Ma seetlu ci mbooloo mi benn jigéen ju màgget. Aka wuteek ñi ma wër ! Wuteek gone yi def yaramu neen, wuteek waa dëkk beek seen colinu ñuy Tubaab-tubaablu."
"Quand ma mère revient (peut-être vaguement inquiète de ce rassemblement), je lui montre cette femme : « Qu'est-ce qu'elle a ? Est-ce qu'elle est malade ? » Je me souviens de cette question que j'ai posée à ma mère. Le corps nu de cette femme, fait de plis, de rides, sa peau comme une outre dégonflée, ses seins allongés et flasques, pendant sur son ventre, sa peau craquelée, ternie, un peu grise, tout cela me semble étrange, et en même temps vrai.","Bi sama yaay dellusee – xéy-na ndaje mi dalul xelam – dama koo joxoñ jigéen ji, ni ko : “Kii lu ko dal ? Ndax dafa tawat ?” . Yaram waa ngi ne duŋŋ, lemu, rasu, der bi mel ni gamb bu peer, ween yi lax, di lang ba ci biir bi. Der bi nag ? Dafa xarat, ñuul kukk. Ci gàttal, mbindeef mu kéemaane laa janool."
"Comment aurais-je pu imaginer que cette femme était ma grand-mère ? Et je ressentais non pas de l'horreur ni de la pitié, mais au contraire de l'amour et de l'intérêt, ceux que suscite la vue de la vérité, de la réalité vécue.","Naka laa mën a xalaate ne keey sama maam ju jigéen ? Li may yëg du mbañeel, du yërmaande. Sori na leen lool. Jigéen ju màgget jooju, cofeel gu réy laa am ci moom. Te it fullaal naa ko ni ñuy fullaale lèpp luy dëgg ak képp ku dëggu."
"Je me rappelle seulement cette question : « Est-ce qu'elle est malade ? » Elle me brûle encore aujourd'hui étrangement, comme si le temps n'était pas passé.","Li gën a doy waar ci mbir mi, moo di ne laaj ba ma laajoon sama yaay – « Ndax kii dafa tawat ? » – mu ngi ma topp ba tey jii, masul a génn sama xel."
"Et non la réponse – sans doute rassurante, peut-être un peu gênée – de ma mère : « Non, elle n'est pas malade, elle est vieille, c'est tout. » La vieillesse, sans doute plus choquante pour un enfant sur le corps d'une femme puisque encore, puisque toujours, en France, en Europe, pays des gaines et des jupons, des soutiens-gorge et des combinaisons, les femmes sont ordinairement exemptes de la maladie de l'âge. La brûlure sur mes joues que je ressens encore, qui accompagne la question naïve et la réponse brutale de ma mère, comme un soufflet. Cela est resté en moi sans réponse. La question n'était sans doute pas : Pourquoi cette femme est-elle devenue ainsi, usée et déformée par la vieillesse ?, mais : Pourquoi m'a-t-on menti ? Pourquoi m'a-t-on caché cette vérité ?","Sama tontub yaay moom, wax dëgg taxu koo am solo. Dafa ma ni : « Déedéet, dara jotu ko, daa màgget doŋŋ. » Xam na daa bëggoon a dalal sama xel waaye ñàkkul it mu am tuuti kersa ci li ma ko laaj. Nekk gone, janook jigéen ju màgget ba rasu, gënalul kenn. Tugal ga ma jóge woon, jigéen ñeek seeni “korsaas” ak seeni sippi njiitlaay mbaa ndóbinu, daan na ñu mucc ňaare ci yenn feebar yi. Ndax looloo waral laaj boobu taq ay ati-at ci sama làmmiñ wii, tàng jërr ? Ni sama tontu yaay bi ñagase it, dara la ci. Laaj bi du rekk : lu tax jigéen jii mel nii, soppeeku ba nirootul nit ? Laaj bi dëggëntaan mooy : lu tax kenn masumaa wax ni li mën naa am ? Luy ndeyu nëbb ma dëgg gu ni mel, man gone gu xamul dara ?"
"L'Afrique, c'était le corps plutôt que le visage.","Su ma nee Afrig, jëmmu doom-aadama moo may tax a wax. Du benn yoon bu sama xel di dem ci xar-kanam gi."
"C'était la violence des sensations, la violence des appétits, la violence des saisons.","Te Afrig, du béréb bu ne tekk, ànd ak dal. Ku xalaat loolu, juum nga. Afrig, mënees nañ ko méngaleek callweer : dara du fa sedd. Daanaka ponkal mu xiif la, mar tey jaay doole."
"Le premier souvenir que j'ai de ce continent, c'est mon corps couvert d'une éruption de petites ampoules causées par l'extrême chaleur, une affection bénigne dont souffrent les Blancs à leur entrée dans la zone équatoriale, sous le nom comique de « bourbouille » – en anglais prickly heat.","Tàngaayu jéeri baa ngi feesal sama yaram ak i fut-fut. Jurul nag metit wu am solo, feebar la sax bu ñu yab, nun Tubaab yiy dem Afrig, ňu koy woowe ci kaf “bourbouille” te Àngale yi tudde ko prickly heat."
"Je suis dans la cabine du bateau qui longe lentement la côte, au large de Conakry, Freetown, Monrovia, nu sur la couchette, hublot ouvert sur l'air humide, le corps saupoudré de talc, avec l'impression d'être dans un sarcophage invisible, ou d'avoir été pris comme un poisson dans la nasse, enfariné avant d'aller à la friture.","Sunu saxaaru-géej a ngi riisu tefes gi, romb Konaakiri, teg ci Firitaawun ak Monrowiyaa. Maa ngi tëdd ci benn lal bu ndaw, def yaramu neen. Noon laa bàyyi palanteer bi mu ubbeeku, péexu géej giy upp néeg bi. Ñu ngi ma diw fépp puudar tàlk, ma mel ni Buur yooyu ñuy wëraleek bàndaas ci seen biir bàmmeel walla boog jën wu ňu mbaal, suy ko fëriň ba di ko waaj a fiiriir."
"L'Afrique qui déjà m'ôtait mon visage me rendait un corps, douloureux, enfiévré, ce corps que la France m'avait caché dans la douceur anémiante du foyer de ma grand-mère, sans instinct, sans liberté.","Ni Afrig këfee sama xar-kanam, la ma delloo sama yaram. Ma ciy yëg metit, di yëg it ni mu tànge. Mooy yaram wi ma Farãs doon jéem a nëbb jamono ca ma dëkke sama kër maam ju jigéen, nekk fa ci jàmm ju mat sëkk, meloon nag ni mbindeef mu ñu tënk, doo dem doo dikk te amoo benn sañ-sañ."
"Ce que je recevais dans le bateau qui m'entraînait vers cet autre monde, c'était aussi la mémoire. Le présent africain effaçait tout ce qui l'avait précédé.","Ci biir saxaaru-géej gi sama xel a ngi wëndéelu, fu ne mu dem fa. Ma dëkke fàttaliku, nag. Fépp fa ma jotoon a jaar, lépp la ma masoon a dund laata may ñëw Afrig, daldi may songaat. Loolu lan la woonati ?"
"La guerre, le confinement dans l'appartement de Nice (où nous vivions à cinq dans deux pièces mansardées, et même à six en comptant la bonne Maria dont ma grand-mère n'avait pas résolu de se passer), les rations, ou bien la fuite dans la montagne où ma mère devait se cacher, de peur d'être raflée par la Gestapo – tout cela s'effaçait, disparaissait, devenait irréel.","Xanaa liñ fi tudde woon Xare bu Mag bi. Sunu kër ca Niis : juróomi nit ñuy dankalikoo ci ňaari néeg yu ñu teg i xànq. Juróom-benn lanu woon sax, boo limaalee Mariyaa, mbindaan mi sama maam ju jigéen ne woon, ci xolam bu rafet, du ko wacc mukk ginnaaw. Luy delseeti ci sama xel ? Dëkku kow ba sama yaay war a daw làquji ndax ragal Almaŋ yi jàpp ko…Loolu lépp seey na ba ni mes, dellu mel niy léeb ak lëppóon."
"Désormais, pour moi, il y aurait avant et après l'Afrique.","Mënoon naa ni : « Bés-niki-tey, sama jaar-jaar yépp ci ñaari mbir doŋŋ la ëmbu : li ma dund laata may xam Afrig ak li ca bokkul. »"
"La liberté à Ogoja, c'était le règne du corps.","Ogosaa, kenn naju fa kenn di ko teree noyyi te sañ-sañ boobu, yaram yu fireeku yee koy firndeel."
"Illimité, le regard, du haut de la plate-forme de ciment sur laquelle était construite la maison, pareille à l'habitacle d'un radeau sur l'océan d'herbes.","Ni kër gi nee noŋŋ ci kow dalug simoŋ, mel ni gaal guy tëmb ci géejug ňax, tax na sama gis-gis amul daanaka yemu."
"Si je fais un effort de mémoire, je puis reconstituer les frontières vagues de ce domaine.","Bu ma góor-góorlooy fàttaliku, damay dellu di dekkali luy nirook dig yi rëddu ci suuf soosee."
Quelqu'un qui aurait gardé la mémoire photographique du lieu serait étonné de ce qu'un enfant de huit ans pouvait y voir.,"Li goneg juróom-ňetti at doŋŋ ni man mii daan seetlu ci béréb boobu, yéeme na."
Sans doute un jardin.,"Tool waru faa ñàkk, moom."
Non pas un jardin d'agrément – existait-il dans ce pays quelque chose qui fût d'agrément ?,"Du ab tóokër – waaw, ndax xamoon nañ sax lenn luy nirook tóokër walla lu ni deme ?"
"Plutôt un espace d'utilité, où mon père avait planté des fruitiers, manguiers, goyaviers, papayers, et pour servir de haie devant la varangue, des orangers et des limettiers dont les fourmis avaient cousu la plupart des feuilles pour faire leurs nids aériens, débordant d'une sorte de duvet cotonneux qui abritait leurs œufs.","Baay daawul saxal lu dul i meňňeef yu nu amal njariñ, maanaam ay garabi màngo, ay guyaab ak i pàpaaya. Ñoo sës it ci peroŋ bi, ñag kër gi, ñook garabi sor s yeek yu limoŋ yi. Mellentaan yaa ngi ràbb seeni xob, defar ciy tàgg yu kowe, mu mel ni mbàjjum wëtéen mu ëmb i nen."
"Quelque part vers l'arrière de la maison, au milieu des broussailles, un poulailler où cohabitaient poules et pintades, et dont l'existence ne m'est signalée que par la présence, à la verticale dans le ciel, de vautours sur lesquels mon père tirait parfois à la carabine.","Su ma téenee, gis tan yiy naawantu ca kow-a-kow, tiim ginaar yeek naat yi ci seen ngunu."
"Un jardin, soit, puisqu'un des employés de la maison portait le titre de « garden boy ».","Ku ne Garden Boy ci kàllaama àngale, nee nga « tóokër ». Kon nu ni boog ab tóokër a nga fa."
"À l'autre bout du terrain, il devait y avoir les cases des serviteurs : le « boy », le « small boy », et surtout le cuisinier, que ma mère aimait bien, et avec qui elle préparait des plats, non à la française, mais la soupe d'arachide, les patates rôties, ou le « foufou », cette pâte d'igname qui était notre ordinaire. De temps en temps, ma mère se lançait avec lui dans des expériences, de la confiture de goyaves ou de la papaye confite, ou encore des sorbets qu'elle tournait à la main.","Surga yaa ngi dëkk ci beneen wàllu pàkk bi, moo xam booy bi la mbaa tusuňe bi. Tusuñe bi nag, déggoo woon na lool ak sama yaay te daan ko jàngal nu ñuy togge soosu gerte, pataas yu ňu saaf walla fufu. Daan nañu toggantu itam komfi guyaab, di saaf pàpaaya ak a defaral seen bopp kareem-galaas."
"Dans cette cour, il y avait surtout des enfants, en grand nombre, qui arrivaient chaque matin pour jouer et parler et que nous ne quittions qu'à la nuit tombante.","Xaley Ogosaa yu bari ci ëtt bi lañ daan yendu, di weranteek a fo ba jant bi so."
"Tout cela pourrait donner l'impression d'une vie coloniale, très organisée, presque citadine – ou du moins campagnarde à la façon de l'Angleterre ou de la Normandie d'avant l'ère industrielle.","Du ñàkk ñu ni, aa, ñii kat seen nekkin ca Niseryaa nekkinu Tubaab yi tegoon loxo ci Afrig doŋŋ la woon, nga xam ne dañu fa daan sanc, yaakaar ni mën nañ koo soppi Àngalteer walla Normàndi gu ndaw."
Pourtant c'était la liberté totale du corps et de l'esprit.,"Ndaxam de, Ogosaa, dara fattu fa woon sunu xel ak sunu yaram : noo moomoon sunu bopp, loolu jur saň-saň bu mat sëkk."
"Devant la maison, dans la direction opposée à l'hôpital où travaillait mon père, commençait une étendue sans horizon, avec une légère ondulation où le regard pouvait se perdre.","Su ma génnaan kër gi, won ginnaaw loppitaanu Baay, aw dénd wu amul àpp la samay bët daan daj."
"Au sud, la pente conduisait à la vallée brumeuse de l'Aiya, un affluent de la rivière Cross, et aux villages, Ogoja, Ijama, Bawop.","Ca bëj-saalum ba, am mbartal mooy jëme ca benn bànxaasu dexug Koros ak tamit Ogosaa, Ijamaa ak Bawob."
"Vers le nord et l'est, je pouvais voir la grande plaine fauve semée de termitières géantes, coupée de ruisseaux et de marécages, et le début de la forêt, les bosquets de géants, irokos, okoumés, le tout recouvert par un ciel immense, une voûte de bleu cru où brûlait le soleil, et qu'envahissaient, chaque après-midi, des nuages porteurs d'orage.","Ca bëj-gànnaar ak penku, mënoon naa séen i jànj yu mag-a-mag ci joor gi ay dex yu ndaw daggatoon. Foofoo doon ndoortelu àll bi, ñu ràññee fa garab yu ponkal, garab yooyu ñuy wax irókook ókume. Asamaan su baxa saa ngi leen muur, naaj wi tàng jërr te suy tàkkusaan di jot niir yiy feeñ, ànd ak i ngëlén."
"Je me souviens de la violence. Non pas une violence secrète, hypocrite, terrorisante comme celle que connaissent tous les enfants qui naissent au milieu d'une guerre – se cacher pour sortir, épier les Allemands en capote grise en train de voler les pneus de la De Dion-Bouton de ma grand-mère, entendre dans un rêve remâcher les histoires de trafic, espionnage, mots voilés, messages qui venaient de mon père par le canal de Mr Ogilvy, consul des États-Unis, et surtout la faim, le manque de tout, la rumeur des cousines de ma grand-mère se nourrissant d'épluchures.","Sama xel dellu ci Afrig, am kàddu gu riir ci sama biir kaaŋ. Kàddu googu di « Kàttan ». Mbaa « Doole » ? Benn la rekk. Li wóor ba wóor moo di safaanoo na lool ak xeetu njàqare yi ma daan seetlu jamono ja ma newee gone te làrme bu Almaañ tegoon loxo ci Farãs, Almaŋ yi yóbbu fitu ñépp, lu leen neex ñu def, di jaay doole dëggëntaan. Booba, kenn du dox ci mbedd mi te sa xel newul ci ñoom. Almaŋ ya ma bett bés ak seeni mànto yu dóomu-taal, ñuy wekki sama ruuwu woto maam ju jigéen…Yemul foofu, de. Te li may waxsi, gépp gone gu màgg ci fitnay xare xam na ko. Mooy ni nit ñiy soppikoo, doon i naaféq, ku nekk ni patt ndax ragal a wax lu ëpp. Ku mel ni ndawul Amerig ca Ogosaa, te tuddoon Ogilwi, daan nay faral a déeyanteek Baay, di ko àgge ay xibaar yu mu warul woon a dégg ci yoon. Kersa dina ma teree sulli yenn yi, muy ndóol gu metti gi taxoon, ci boog liñ doon ruumandaat, samay doomi-bàjjen daan añe xollitu banaana mbaa sorãs, di ko reere."
Cette violence-là n'était pas vraiment physique. Elle était sourde et cachée comme une maladie.,"Naqar yu ni mel, daanaka dana la woon buy gas paxam ci sunu xol guddeek bëccëg."
"J'en avais le corps miné, des quintes de toux irrépressibles, des migraines si douloureuses que je me cachais sous la jupe longue du guéridon, les poings enfoncés dans mes orbites.","Mu mujjee jàpp sama yaram man mii, may sëqat tëwa bàyyi, sama bopp biy metti bay bëgg a xar, may wut fu ma làqu, taf samay bët…"
"Ogoja me donnait une autre violence, ouverte, réelle, qui faisait vibrer mon corps. C'était visible dans chaque détail de la vie et de la nature environnante.","Ogosaa, leneen la woon. Doole ja mu ma daan jox, doole ju fés te wér, dafa daan yëngal sama yaram wépp."
"Des orages tels que je n'en ai jamais vu ni rêvé depuis, le ciel d'encre zébré d'éclairs, le vent qui pliait les grands arbres autour du jardin, qui arrachait les palmes du toit, tourbillonnait dans la salle à manger en passant sous les portes et soufflait les lampes à pétrole.","Ogosaa laa gëjee teewe ngëlén yu ni mel. Masuma leen a gént tamit. Dënnu yu metti yi. Ngelaw li. Ngelaw lu am doole, sax. Da daan lem garab yi ba ñuy bëgg a àgg suuf, jaxase jànq bi, aw ci suufu bunt bi, daldi ni cabax ci biir saal bi, ëf làmpi petorool yi."
"Certains soirs, un vent rouge venu du nord, qui faisait briller les murs.","Léeg-léeg itam mu jóge bëj-gànnaar, yëkkati suuf su xonq si daan melaxal miiri kër gi."
"Une force électrique qu'il me fallait accepter, apprivoiser, et pour laquelle ma mère avait inventé un jeu, compter les secondes qui nous séparaient de l'impact de la foudre, l'entendre venir kilomètre après kilomètre, puis s'éloigner vers les montagnes.","Nit ki, su àll bi demee ba ràkkaajoo noonu, fàww nga seet noo koy dékkoo. Daawuma ko diir mbagg, gaa, wànte leeroon na ma ni su ma wutul pexe du sotti. Nàkkul sama yaay loolu la njortoon ba sos am po : saa yu benn dënnu dalee, nuy tàmbalee waññ ba xam bi ciy topp kañ lay agsi. Dañ ko daan dégg muy bawoo fu sori, mel ni lu tiim tund yiy dukkat, ñëw dal sunu kow."
"Un après-midi, mon père opérait dans l'hôpital, quand la foudre est entrée par la porte et s'est répandue sur le sol sans un bruit, faisant fondre les pieds métalliques de la table d'opération et brûlant les semelles en caoutchouc des sandales de mon père, puis l'éclair s'est rassemblé et a fui par où il était entré, comme un ectoplasme, pour rejoindre le fond du ciel. La réalité était dans les légendes.","Bés, bi timis diy waaj a jot, dënnu bi bett na Baay fa mu doon opeeree ca loppitaanu Ogosaa, daldi lakk ay caraxam, ruyal tànki lal ba ñu tëraloon aji-tawat ba. Nes tuut, mu dajaloo, jaaraat ca suufu bunt ba, dellu ca kow asamaan. Afrig, dund naa fay mbir, ñu ni fàŋŋ ci samay bët te du ma tee werante ci sama xel, naan ndax lii ay léeb laam déet."
L'Afrique était puissante.,Duma ko tàyyee wax. Kàttanu Afrig dafa jéggi woon dayo.
"Pour l'enfant que j'étais, la violence était générale, indiscutable. Elle donnait de l'enthousiasme.","Doole joojoo nga woon fépp. Ma nekk xale, muy yokk sama cawarte, di ma bégal."
"Il est difficile d'en parler aujourd'hui, après tant de catastrophes et d'abandon. Peu d'Européens ont connu ce sentiment.","Lu jafee waxtaane la tey ndax musiba yi ñu fi jot a jànkonteel ak it ni nit ñi bàyyeekoo, rawati-na fii ci Tugal."
"Le travail que faisait mon père au Cameroun d'abord, puis au Nigeria, créait une situation exceptionnelle.","Liggéey bi Baay daan def, njëkkee ko Kamerun door a jàll Niseeryaa, du woon liggéeyu caaxaan."
"La plupart des Anglais en poste dans la colonie exerçaient des fonctions administratives. Ils étaient militaires, juges, district officers (D.O).","Ñu bare ci Àngale ya fa toogaloon seen réew, ay soldaar lañu woon wallay àttekat walla li ñu tudde woon ci seen làkk ay « District Officers »."
Mon père était l'unique médecin dans un rayon de soixante kilomètres.,Baay doŋŋ a doon fajkat fa nu dëkkoon.
