french,wolof
C'est moi que l'homme appelle ?,Man la góor gi woo ?
C'est mon ami !,Sama xarit la !
Cela même que tu as fait.,Ni ŋga def noonu.
Mon nom est ...,... laa tudd
L'homme veut que tu viennes.,Góor gi bëgg na ŋga ñëw.
Ils sont partis,Dem nañu
J'ai été chez un autre qui est gentil.,Dem naa ci keneen ku baax.
Le voilà qui partait,Ma ŋgee doon dem
Sois l'homme de tout le monde !,Dil nitu nit ñi !
Tu as vu ceux-là lesquels ?,Gis ŋga ñooñale ñan ?
Tu vas vers qui ?,Ci ñan ŋga jëm ?
"Ceci est ce qu'on appelle une douche, qu'on a conçue de manière méthodique.","Lii de lañuy tudde wanag, ñu defar ba mu muccu ayib."
Tout ce discours,Wax jépp
Allez là-bas !,Demleen foofu !
Les femmes et les hommes sont de haute taille.,Jigéen ñi ag góor ñi ñjóol lañu.
L'homme a donné quelque chose à quelqu'un.,Góor gi may na nit dara.
Ce que tu as dit.,La ŋga wax la.
Qu'as-tu vu ?,Koo gis ?
"Non, ils vont bien.","Déedéet, defuñu dara."
Je vois une large chambre avec un lit pour passer la nuit. Il y a de larges draps qui s'accordent à la période.,"Aa gis naa benn néeg bu yànj ànd ak ay lal, lalu fanaanukaay. Am ay drap yu yànj yu méngook jamono waa."
Tu as vu celui-ci ?,Gis ŋga kooku ?
"Sur cette photo datant d'il y a huit ans, j'y ai vu du couscous qu'on a préparé. Après l'avoir bien préparé, il s'accompagne de sauce qui est mélangée avec.",Juróom-ñetteelu nataal bi seetlu naa ci cere joo xam ne dañ koo defar. Biñ ko defaree bam noppi mu àndak ñeex moo xam ne moom lañ koy siife.
Tu connaissais la jeune fille ?,Xamoon ŋga jaŋx ba ?
Aucune jeune fille ne s'est égarée.,Ndaw senn réerul.
Je parle de ceux-là !,Yenn xar yooyuu laa wax !
"Si tu ne veux pas, à l'intérieur !","Soo bëggul, ci biir !"
Toute cette part que voici.,Wall wuu wépp.
Qui cherches-tu ?,Kooy seet ?
L'homme est unique.,Góor gi kenn la.
Nul n'a été,Kenn demul
Où avait-il été ?,Fu mu demoon ?
Ce sont d'autres.,Ñeneen la.
Attache tout mouton !,Yeewal mépp xar !
Qu'il aille chez Lamine NGom !,Na dem ca Laamin Ngom !
L'homme a frappé la vache avec un bâton.,Nit ki dóor na nag wi ak bant.
Converser avec l'un lequel ?,Waxtaan ak kenn kan ?
C'est moi qui vais partir,Maay dem
"L'homme le voici, il est Saint-Louisien.","Góor gaa ŋgi, nitu Ndar la."
C'est un maître de maison.,Boroom kër la.
J'ai vu le mouton mâle.,Gis naa xar mu góor ma.
Je reste ici jusqu'à ce qu'il vienne !,Maa ŋgi fi ba mu ñëw !
"Autre, tu es.",Keneen ŋga.
Prends la totalité !,Jëlël lépp !
J'ai aperçu des chevaux.,Séen naa ay fas.
Accepte-tu de danser avec moi ?,Buga nga fecc ?
Vous parlez de quelle dame ?,Jile jigéen jan ŋgeen wax ?
Ce garçon peut te payer pour n'import quoi,Góor gu bàax bi dina fay lepp
Have you peace ?,Jaam nga am ?
À l'intérieur de cette maison,Ci biir kër googule
"C'est Fatim, aujourd'hui.","Faatim la, tay."
L'homme m'a dit : dehors !,Góor gi nee na ma : ci biti !
"C'est Fatim, peut-être !",Faatim la soo demee !
J'ai vu l'homme qui est venu !,Gis naa góor gi ñëw !
À l'intérieur si tu ne veux pas !,Ci biir soo bëggul !
Mais entre !,Dugghal waay !
"Celui-là que tu vois c'est le dirigeant du pays, Macky Sall. Il est là-bas dans le véhicule, levant ses bras. Actuellement, les policiers et les gendarmes le suivent. Les suiveurs le garde, montrant leurs véhicules eux aussi. C'est le dirigeant du pays qui se trouve au-dessus, dans le véhicule noir, entrain de lever ses bras.","Kale ngay séen njiitu réew mi la, Maki Sàll. Mi ngi nekk noonu ca kaw ndaamar ga, yékkati ay yoxoom. Leegi nag, polise yeek sàndarm si topp ko nii, toppekat yi di ko gàrde, war seeni ndaamar ñoom it. Njiitu réew mi moo nekk nee ca kow, ci ndaamar gu ñuul gi yékkati ay yoxoom."
C'est ceux-là que l'homme désire,Yooyu la góor gi bëgg
C'est notre ami !,Suñu sarit la !
"Donc, tu ne partiras pas ?",Xanaa doo dem ?
"Ceux-là sont des femmes policières. Elles sont nombreuses, portant des armes, des gangs blancs et un chapeau. Le chapeau aussi comporte des traits blancs, au-dessus. Elles portes des habits de couleur noir, précédée d'une couleur blanche.","Lii nag ay pólisee yu jigéeñ la. Ëe bari nañu lool, ñu ràngoo ay fetal, sol ay gā yu weex, sol ay mbaxana, ëe, mbaxana mi tamit am na ay rëdd yu weex ci kaw, ak ay yére yu ñuul, jiital lu weex."
Je veux que tu viennes le matin à cinq heures dans la fraîcheur !,Bëgg në ŋga ñëw ci subë ci juróomi waxtu ci sedd bi !
Salut,Salaam aleekum
Le maître souhaiterait avoir donné toute sa fortune pour pouvoir demander aujourd'hui l'aumône.,Sërin bi bëgg na mayewoon alalam ji ba mënkoon yalwaan tay.
Je suis parti,Dem naa
Vas-y !,Dem fa !
Ou l'homme est parti ou les enfants sont assis.,Góor gee dem mba xale yee toog.
Ecris s'il te plaît !,Ndax mën nga ko bind su la neexee ?
J'ai aperçu une jeune fille.,Séen naa as ndaw.
Il lui a amené du fourrage au champ.,Yobul na ka ŋgooñ tool ya.
Celui-là qui avait l'habitude d'aller,Kooku daawoon dem
J'ai été dans une maison spacieuse !,Dem naa ci kër gu yaa !
Si tu es un homme,Soo dee góor
Rappelle Moussa qui s'en va,Wooyil Musaa moom mi di dem
Quel mouton en entier ?,Man xar mépp ?
C'est un autre récipient que je veux !,Beneen ndab laa bëgg !
Cherche l'autre tout simplement !,Setal keneen ki rekk !
J'ai prêté le livre à cet homme parti.,Abal naa téere bi góor googule gi dem.
C'est bien ?,Baax na ?
Homme est parti !,Nit dem na !
Viens,Agsil
Voilà ce qu'il est.,Loolu la.
Qui veut ce livre ?,Ku bëgg bii téere ?
"C'est des poissons, oui. Ils sont de couleur bleue ou rouge.","Jën la waaw, Wu am wirgo Wu baxa ak Wu xonq."
Le voilà tout simplement,Mi ŋgi noonu rekk
Celui-là et celui-ci ne se ressemble en rien !,"Kooka ak kile, bokkuñu !"
Là où tu es,Ci foofu ŋga taxaw
Aucun mouton ne s'est égaré.,Xar menn réerul.
Celui-là n'est pas venu seul.,Kooku rekk ñëwul.
L'homme partit,Góor gi dem
Qui est-ce ?,Ñan la ?
Appelle celui-là qui ne part pas,Wool kee dul dem
Un homme de courage n'abonde pas paroles.,Jambaar du bare wax.
Va les voir !,Gisi leen !
Il est là ?,Mi ŋgi fii ?
Tu as vu les autres amis ?,Gis ŋga sa yeneen xarit yi ?
Tu as vu quoi ?,Gis ŋga lan ?
Vous seriez morts,Deekoon ŋgeen
"L'homme ne parlait pas, habituellement.",Góor gi daawul wax.
"C'est Fatim, si on va au fond des choses !","Soo demee, Faatim la !"
Les travailleurs c'était les enfants.,Liggéeykat ya xale ya la woon.
"L'autre, celui qui est arrivé !","Keneen, ki ñëw !"
"Ainsi, tu vas t'en aller !",Ba yaa ŋgii di dem !
Tu as vu l'homme ?,Gis ŋga nit ki ?
Et que nul ne bouge !,Te bu fi kenn jogé !
"Je suis seulement toi, comment vas-tu ?","Mangi fi rekk, na nga def ?"
"Mais, nul ne lui a prêté oreille.","Wande nag, kenn dégluwu ka."
Je parle de cette dame que voilà !,Jigéen jale laa wax !
Qui a fait ceci ?,Ku def lii
L'enfant n'a rien donné à celui-ci.,Xale bi mayul dara kii.
Ils ont été bûcherons.,Laobe lañuwoon.
Tu as reconnu sa femme d'autrefois ?,Xammee ŋga jabaram joojuwoon ?
Où veut-il,Fu mu bëgg
Qui est-ce celui-ci ?,Ki kan la ?
Quels chevaux voulais-tu et lequel as-tu pris ?,Yan fas ŋga bëggoon ak wan ŋga japp ?
Mon salut à tout le monde mais surtout honore de ma part ceux-là que tu rencontras.,Nuyul më ñépp te maarel ma bu baax ñooña ŋga dajeeloon.
Cet enfant-ci n'est pas venu ?,Bile xale ñëwul ?
C'est l'homme qui n'a pas été,Góor gi moo demulwoon
On a un grand panier. On sait qu'il est teint avec une très belle couleur chocolatée. Une personne peut le prendre pour y mettre ses bagages ou l'amener au marché. La plupart des femmes s'en servent pour faire les courses.,Ñu ngi am pañe bu mag. Xam nanu si kulëeru sokolaa boo xam ne yaatoo yaatu la. Nit mën na ko jàpp def si ay bagaasam' walla yóbb ko 'marché'. Li ci ëpp jigéen ñi moom lañuy nduggee.'
L'homme dont parle cet individu,Góor gi waa ji wax
Sois poli !,Àndal ak yar !
Quel cheval veux-tu ?,Woowale fas wan ŋga bëgg ?
L'homme est un Saint-Louisien.,Góor gi nitu Ndar la.
Qui as-tu vu ?,Loo gis ?
Quel homme s'est égaré ?,Nit kan a réer ?
Cela seulement ne suffit pas,Loolu doŋŋ doyul
Mes voeux de tabaski,Mangui lay ndokkel ci tabaski bi
Nul n'a été,Góor demul
L'homme demande à tous de partir !,Góor gi nee ñépp dem !
L'homme que l'enfant a appelé,Góor gi xale bi woo
Je m'appelles ...,Maa ngi tudd ...
C'est un homme qui n'est pas bon !,Nit ku baaxul la !
Je crois que c'est l'homme !,Yaakaar naa góor gi la !
Personne n'était venu,Yéena dikkulwoon
Alors qu'il sera en train de partir,Su dee dem
C'est la maison de Birayim.,Kër Biraayim la.
De qui parles-tu ?,Koo wax ?
C'est un brave à n'en pas douter !,Jambaar la ba mu dooy !
C'est trop cher.,Seer na torob.
"Je souhaite que les hommes viennent, que les enfants viennent et que les femmes s'asseyent !","Bëgg naa góor ñi ñëw, xale yi ñëw, jigéen ñi toog !"
"Sur cette photo, c'est une personne de couleur blanche, assise sur une chaise noire. Le dossier de la chaise, là où tu poses ta tête, comporte des écritures blanches. La personne a, cependant, superposé ses deux mains au-dessus du menton. La personne porte des habits de gendarme. C'est-à-dire des habits qui ont...","Nataal bii mu ngi nekk ak nit, nit ku xees, ku  toog ci baŋ bu ñuul. Wéerukaayu baŋ bi, ci fi ngay tegee sa bopp, ni am ay bind yu weex. Moom nag mu ngi tegle ñaari loxoom yi tiimale ko ci sikim bi. Nit ki nak mu ngi sol yéreeg takk-der. Maanaam yére bu am..."
Lui il est parti,Moom dem na
"J'ai vu ceux-là, auparavant.",Gis naa ñooñale woon.
C'est moi qui ai été,Maa demoon
"Et pourtant, les enfants sont venus","Moontin, xale yi ñëw nañu"
Je ne le connais pas,Xamu mako
Cire a prié pour Oumar qui se tient-là.,Siré ñaanal na Umar mi taxaw.
Tout autre mouton que tu vois.,Meneen xar mépp moo gis.
L'homme qui avait l'habitude d'aller,Góor gii daawoon dem
Nous partons,Dem nañu
Je n'irai pas,Demuma
"Homme, lion, boeuf, allaient de concert.","Nit, gayndé, nag, àndoon nañu fi."
Comment ?,Na ?
Là-bas jusqu'à ce que vous reveniez !,Ci foofu ba ŋgeen dellusi !
"Partout où il descend, là paix descendra.",Fépp fu mu jëm foofu jàmm dana fa wacc.
Je connaissais cet individu-là !,Xamoon naa waa joojee !
Allez pour que l'arachide arrive et qu'enfin les ventes marchent une fois pour toutes !,Na ŋgeen dem ndax gerte gi ñëw te nak ñjaay mi jar benn yoon !
"Je crois que ce n'est pas celui-ci, ce n'est pas celui-là","Defe naa du kookuu, du kookee"
Ce mouton n'est pas gras ?,Xar muu duuful ?
"Sur cette photo ci, il y a des pierres qui sont rassemblées. Cependant, les pierres ont des trous à l'intérieur ainsi que des pointes. Elles semblent de couleur marron.","Waaw nataal bi de, ay xeer la yoo xam ni dañ dajaloo. Xeer yi nag Daf am am ay pax-pax ci biir, am ay cat-cat. Dafa xaw a marõ."
J'ai vu cet homme qui parlait et qui était assis par terre.,Gis naa góor gi doon wax te toogoon ci suuf.
"« Me voici, regardez-moi » n'est pas le fait d'un homme serein.","Maa ŋgii gis leen ma, du jëfu nit ku yiw."
Ce n'est pas là une belle parole !,Jile wax rafetul !
Comment vont les gens de la maison ?,Naka waa kër ga ?
Cela quoi ?,Lii lan ?
"Si tu veux, retourne au centre de Saint-Louis !","Dellu, soo bëggée, biir Ndar !"
J'ai vu vaches d'Europe.,Gis naa nagu Tugal.
Vous voilà là à l'intérieur !,Yéena ŋgoogule foofu ci biir !
Voyager demain,Tukki ëlëk
Comment se passe la matinée ?,Naka subba si ?
Tu parles de la ville de quel Sérère ?,Dëkku Séeréer ban ŋga wax ?
"Te voilà, quoi !",Yaa ŋgoogu rekk !
Tout le propos,Wax jépp
C'est lui qui n'est pas Laobe du Baol.,Moo dul Lawbe Bawal.
"Il est là, peut-être !","Mi ŋgi fi, soo demee !"
La matinée se passe bien.,Subba sangi fi rek.
"Des gens que tu m'as présentés, celui que voici me dispose le plus à la confiance.","Nit ñi ŋga ma wàn ñépp, kii laa ci wóolu."
Qui vois-tu ?,Koo gis?
C'était ainsi.,Noonu la woon.
Je parle de ces autres individus !,Nit ñenn ñooñii laa wax !
"Ce boeuf-là, en totalité.",Nag woowa wépp.
C'est l'homme qui part je crois !,Ma defe góor gii dem la !
Tu reconnais cet enfant-ci ?,Xammee ŋga bee xale ?
Cette photo montre certainement une sorte de douche qui est très large. À l'intérieur de la douche il y a des outils que tu peux te servir après avoir fini.,"Waaw nataal bii mi ngi wane ab ab wanag lii ab wanag la, wanag bu yànji sax. Ci biir wanag bi nag am nay am na jëfandikaay yoo xam ne ngir boo jëfandikoo ba pare man nga koo jël daal."
L'homme qui travaillait d'habitude,Góor gi daan liggéey
C'est bon ?,Neex na ?
Content de te rencontrer,Am nàa mbekte ci guiss la
"L'homme, il n'est pas parti ?",Gor gi dafa demul ?
Certaines personnes ne sont pas encore arrivées.,Ñenn nit ñi yegseeguñu.
Cet homme qui part,Góor gii di dem
Ne sors pas aujourd'hui !,Bul dem tay jii !
"Ceux-là, les voilà.","Ñoonu, ñu ŋgii."
J'ai été,Dem naa
C'est toi-même !,Yaw mile la !
C'est un autre cheval que je veux !,Weneen fas la bëgg !
J'ai vu mes autres amis !,Gis naa sama xarit yeneen yooyuu !
Il parle desquelles de vous ?,Yéen ñan la wax ?
"Sur la photo qu'on m'a envoyée, il y a une sorte de salle avec une porte : La porte est noire et chocolatée. Il y a un siège et un autre qui est sur ton côté gauche. Il y a une autre table au milieu. Il y a des sortes de traits de couleurs rouge et jaune. Il y a un autre dessin de couleurs blanc et jaune.","Nataal bii ñu ma yónnee lu mel ne ab saal la, saal boo xam ne am na benn bunt : bunt bu ñuul ak lu sokolaa. Am na benn toogu, am na beneen toogu boo xam ne moo nekk ci sa 'côté gauche'. Am na beneen 'table' boo xam ne moo nekk ci digg bi. Am na lu mel ne ay rëdd, ay rëdd bu xonq ak bu 'Jaune'. Am na beneen 'dessin' bu weex ak bu 'Jaune'."
Aucune dame ne s'est égarée.,Jigéen jenn réerul.
Redresse-le avec un baton !,Jubënti ko ak bant !
Sois un être de raison !,Dil nit !
Lesquels ne sont pas venus ?,Ñu dikkul ?
"Si elle veut, bien sûr !",Su bëggée kañ !
Allez !,Demleen !
Il a été quelqu'un !,Nit la !
Quels moutons ?,Xar yile yan ?
Il se trouve que l'homme est de ces gens qui...,Góor gi doon na di nit koo xam ni...
Quel être !,Moo di loola !
Appelle la police !,Wooyal ma alkaati!
Ce que cet homme a dit,Li waa ji wax
D'autre sont partis,Ñeñeen dem nañu
Il ne s'est pas mêlé à eux.,Dogul cu seen biir.
"Quatre agents de police, les deux portent leurs <mask> venant séparer les deux se battant sur le sol. Il y a le sommet d'un arbre sur le coté et un homme arrivant.","Ñenti alkaati, ñaar ñi yor seen bat ñow di àtte ñaar ñu nekk di xeex tëdd ci suuf. Mu am benn taatu garab bu nekk ca wet ga, am benn waay bu ñëw."
"Si l'homme vient, tout ira !",Su góor gi nëwée lépp baax !
Que veux-tu ?,Loo bëgg ?
Comment vas-tu ?,Naka ŋga def ?
Tu as vu celui-là lequel ?,Gis ŋga kookuu kan ?
Est-ce l'homme qui est parti ?,Ndax góor gi moo dem ?
Je croie qu'aujourd'hui il viendra !,Defe naa tày dana ñëw !
"Ceci on dirait que c'est une théière, une théière rouge sur la quelle on a dessinée des arbres. Les arbres ont une couleur noire sur les quelles, se trouve, on dirait, une gazelle. La gazelle est de couleur noire.","Lii de daa mel ni ab baraada la, baraada bu xonq ñu diseene ci ay garab. Garab yi nag ñi ngi am wirgo yu ñuul am lu mel ni ag kéwël, kéwël gi mi ngi am wirgo yu ñuul."
C'est celui-là à l'intérieur.,Kookule la ci biir.
L'homme ne veut pas,Góor gi bëggul
Ils sont là-bas.,Ñunga fa.
L'homme soutient que les enfants y eussent été.,Góor gi nee xale yi demkoon nañu fa.
D'où venez-vous ?,Fan ngeen joge ?
C'est quand tu es venu,Bi ŋga ñëwée la
Quel moutons est égaré ?,Xar man moo réer ?
Quel cheval s'est égaré ?,Fas wan a réer ?
Quels chevaux se sont égarés ?,Fas yan ñoo réer ?
Il a vu mes autres amis !,Gis na sama xarit yeneen yooyuu !
Que souhaitais-tu ?,Là bëggóon ?
Homme et lion ne cohabitent pas.,Nit ag gaynde duñu dëkkóo.
Que l'homme parte et que les enfants entrent !,Góor gi dem te xale yi dugg !
Nous voilà assis,Ñu ŋgi toog
J'ai vu lion.,Gis naa gaynde.
Je t'aimes,Nopp naa la
L'homme de dire : fuyez !,Góor gi ni : dawleen !
"Sur cette photo, je suis face à une chaise peinte avec de la couleur bleue. Ce siège ci, il semble qu'il soit complètement tissé. C'est ce à quoi je suis face sur la photo qui est devant moi.",Nataal bii maa ngi ciy janook 'chaise' bu nu liggéeye niki lu xaw a baxa. Moom toogukaay bii. Mel na ne yit ëe toogukaay la bu nu ràbbale ba fatt. Moom laay janool ci nataal bii ma janool.
L'homme a vu cet autre-là.,Góor gi gis na kookale.
Est-ce comme je le crains que... !,Mbaa... !
J'ai vu d'autres amis à vous !,Gis naa seen yeneen xarit !
Est-ce par hasard ?,Xanaa ?
Dis à d'autres de partir !,Waxal ñeñeen ñu dem !
C'est celui-là même devant le seuil de la maison.,Moom mile ci buntu kër gi la.
Cet homme près de moi.,Nit kii ci sama wet.
"Moi, me voilà.","Man, maa ŋgi."
Je crois que ce n'est pas celui-ci !,"Du kii, defe naa !"
Celles-ci !,Yooyuu !
L'homme t'aurait vu,Góor gi giskoon na la
"L'homme, lui, ne s'en alla pas !","Góor gi, moom demul !"
Viens !,Kaay !
C'est l'entrée de Louga. C'est à la frontière de Louga que tu entres pour montrer que tu habites à la région de Louga. Louga fait partie du Sénégal. C'est ça qu'il représente au Sénégal.,"Lii duggukaay bu Luga la frontière bu Luga fii ngay dugg pour ñu wan la yaw mii nii yaa ngi dëkk biñ naan Luga. Luga nag ci Senegaal la bokk, ab lii la ci Senegaal."
Tu ne travaillais pas d'habitude.,Daŋga daawul liggéey.
Tu te rappelles son amour ?,Gis ŋga coroom la woon ?
Je vois l'homme.,Gis naa nit ki.
"Ceci est une forêt habitée. Il y a beaucoup d'arbres ici. Il y a un lit ici même. Il y a une sorte de tente là-bas. Il y a beaucoup d'arbres qui l'entourent. Ici, assurément, c'est une forêt.","Waaw lii de ab àll la, àll bi dañ koo xayma, am na ay garab yu bari yu fi nekk. Am na ab lal bu nekk fii nii. Am na ag xayma gu nekk nale. Am na ay garab yu ko wër yu bari. Fii de moom ab àll la moom."
Il doit partir.,Dafa di dem.
Où vas-tu ?,Fo jëm ?
"Sur cette photo il y a, semble-t-il, des bancs.",Nataal bii lu mel ni ay bãŋ la.
C'est vous-mêmes !,Yéen ñile la !
Où est l'homme dont il parle ?,Ana góor gi mu wax ?
On croyait que tu allais partir matin et soir !,Dañu defewoon ni daa dem ci subë ag ci ŋgoon yépp !
Tu connais cet homme-là ?,Xam ŋga nit kookuu ?
L'homme eût été un savant.,Góor gi doonkoon na boroom xamxam.
Que l'homme parte ?,Góor gi dem ?
C'est un homme qui eût été bon !,Nit ku baaxkoon la !
C'est cet autre qui était venu.,Kenn kooku yeksi lawoon.
Qu'est-ce que tu as rapporté ?,Lan nga indi?
Il s'agit d'autres.,Ñeneen lañu.
Tu ne partiras donc pas ?,"Doo dem, xanaa ?"
C'est lui qui serait allé,Moo demkoon
Vous partez,Dem ŋgeen
Je parle de vous tous !,Yéen ñépp laa wax !
J'ai vu un lion.,Gis naa gaynde.
"C'est Fatim, si on va au fond des choses !",Faatim la soo demee !
J'ai vu une vache d'Europe.,Gis naa nagu Tugël.
"Sur cette photo, il y a d'une salle dans la quelle sont posés des bancs rouges avec des fleurs constituées de lampes allumées de sorte à ce qu'elles soient jolies; Dieu l'a voulu.",Nataal bii nag benn salle la bu ñu teg ay bã yu ruus def ay fleurs taal ay làmpu décoré ba mu rafet maasàllaa.
Le mouton en entier.,Xar mi mépp.
Qui cherches-tu ?,Kooy set ?
C'est Samba que tu appelles ?,Samba ŋga woo ?
"Cette photo ci que je vois c'est une photo sur laquelle il y a une mosquée. Une mosquée qui est très longue et remplie. En plus elle a des herbes et des arbres sur le sol. Mais la mosquée on l'a peint avec de la peinture jaune. En plus de tous ces <mask>, oui.","Nataal bii ma gis de nataal la boo xam ne jàkka la, jàkka joo xam ne jàkka ji guddu na lool ba noppi bari, ba noppi am ñax, am ay garab yu ne ca suuf. Waaye jàkka ji nag peinture bu soon lañ ko peinture. Ba noppi mu ay rajook yooyu yépp waaw."
"À ceux-ci, ceux-là, à ceux qui sont là-bas","Ñii, ñee, ñooñu"
A qui parles-tu ?,Kooy waxal ?
"Ceci est une maison. La maison est, cependant, constituée de trois étages. Tu peux passer d'étage en étage. La maison comporte beaucoup de portes et <mask>, des fenêtres à travers les quelles le vent passe dans la toute la maison. Elle comporte des arbres qui s'érigent au-dessus de la maison qui <mask>.","Lii ak kër. Kër gi nag ni lu bindoo tegale gi ñetti tegale la ci tabaxin bi. Nga mën a yéeg ci kow yéegaat ci kow jàll. Mi ngi am ay bunt yu beree bare ak i tofla, ay fëneetar yoon xam ni ngelaw Li da cee mën a jaare ci biir kër gi. Mi ngi am ay garab yu naatal kër gi ci wer ci."
Tu as vu l'homme dont il fut question ?,Gis ŋga nit ki woon ?
Surtout pars !,Te ŋga dem kat !
"Sur la photo qu'on m'a envoyée, j'y ai vu un cadre avec des chaussures. Il y a des chaussures de garçon mais aussi des chaussures fermées.","Nataal bii ñu ma yónnee gis naa ci ab kaadar def ay dàll, dàll yoo xam ne ay dàlli góor la, dàlli fermé yi tamit mi ngi ci."
"Ah c'est ce qu'on avait dit. Ce sont des policiers accompagnés de leur chef. C'est eux que l'on voit debout. Leur chef, cependant, se trouve là-bas. Il semble qu'ils doivent se mettre debout et tendre les bras; à ce qu'on voit.",Aaa mooy li ñu waxoon rekk ñii ay policiers lañ ñoo xam ni da ñu ànd ak seen seef. Ñoom la ñu gis ñu nekk taxaw nii. Seen seef bi nag moo nekk nee. Xay na nag da ñoo war a taxaw rekk coster les bras nii ci li ñu man a gis nii.
"Sur cette photo, il y a deux endroits pour s'allonger, deux lits. Sur l'un, on y a posé un oreiller et étalé un drap. Sur l'autre qui est en bas, on n'y a ni posé d'oreiller ni étalé de drap.",Nataal bii ñaari tëddukaay la ñaari lal la. Benn ba teg nañ ca njegenaay lal ca darab. Benn bi ci suuf teguñu ci njegenaay kenn laluñ ci dara.
"J'en suis sûr, cette photo ci c'est la photo pris au moment où plusieurs personnes font une marche de révolte tendant leurs mains. Ceux là sont assis, ceux là sont debout entrain de marcher. On a écrit sur la photo quelque chose de bleu concernant la Casamance.",Waaw nataal bii nataal la boob ay nit ñu baree bari ñoo xam ni dañuy doxub ñaxtu ñoo ci nekk tàllal seen i loxo. Ñee sukku ñeel taxaw jodd di dox. Ñu bind ci kaw nataal bi lu xaw a baxa la bind ci laa kaasamãs.
Car c'est toi qui eûsses été heureux.,Ndax yaa begkoon.
Bonne chance !,Màa ngui lay nianal weurseuk
Quels moutons sont arrivés ?,Xar yan ñoo ñëw ?
"Ceux-là, aussi, sont des gendarmes. Ils siègent à la gendarmerie nationale. Eux, cependant, leur travail est de garantir la protection du dirigeant du pays. On les appelles en français 'garde rouge', 'garde rapprochée', ou 'garde présidentielle'. C'est à eux qu'on confie la part de protection du dirigeant du pays.","Ñii moom tamit ay takk-der nañ. Ñi ñi ngi bàyyikoo ci sàndarmëri nasiyonaal. Ñoom nag seen njariñ mooy di aar kaaraange njiitu réew mi. Ñu leen di tudde ci tubaab 'garde rouge, garde rapprochée ou garde présidentielle'. Ñoom la ñuy dénk wàllu kaaraange njiitu réew mi."
Quelles choses se sont égarées ?,Yëf yan ñoo réer ?
Et ne viens surtout pas à l'école !,Te bul ñëw jaŋgu ba de !
Je connais les enfants.,Xam naa xale yi.
"Sur cette photo, il y a une chose qui ressemble à une salle. La salle aussi j'y vois ce qui ressemble à un petit lit accompagné à ce qui semblent être des canapés très confortables. Je vois aussi attaché au-dessus <mask> et un dessin <mask>. Un dessin qu'on a mis sur le mur.","Nataal bii de ab salle lay nuróol, salle bi tamit maa ngi ci gis lu mel ni ab lal bu ndaw maasàllaa lu mel ni ay canapé yoo xam ne neex naa toog lool. Maa ngi gis tamit ñu takk panal ci kaw akub dessin tubaarikàlla, dessin yoo xam ne dañ koo dessin ci miir bi."
