wolof,french
Seen xarit la !,C'est votre ami !
ñépp,tous
kookee,celle-ci
Õga dem la ñooñu bëgg.,"Que tu partes, c'est ce que ceux-là veulent."
Dem na ca subë.,Il est parti ce matin.
Ku dem ?,Qui a été ?
gisé,voir
raññe bares,catégorie de pluriel
"Du ñëw, defe naa !",Je crois qu'il ne viendra pas !
Jeneen jabar laa bëgg !,C'est une autre épouse que je veux !
Dafa di leneen.,C'est que c'est autre chose.
Yéena õgoogule foofu ci biir !,Vous voilà là à l'intérieur !
moomale,celle-ci
Dogul cu seen biir.,Il ne s'est pas mêlé à eux.
te,de ce fait
Seetil fas yépp !,Va voir tous les chevaux !
wàl,souffler
Gis naa xar mu góor ma.,J'ai vu l'ovin mâle.
sant,remercier
"Tay, ci subë.","Aujourd'hui, le matin."
Gor gii dem,Mais cet homme est parti
yan,lequel
soxor,méchant
kookii,celui-ci
Na mu...,Qu'il...
ki,celui
maggat,vieux
Bi jigéen ji ñëwée la,C'est lorsque la femme arriva
Ko gis ?,Qui as-tu vu ?
man,moi
Wool kee dul dem,Appelle celui-là qui ne part pas
"Ci kii, ci kuu, ci kee","Vers celui que voilà, vers celui-ci, vers celui-là"
Loo bëgg def ?,Que veux-tu faire ?
waxtaan,causerie
Waa joor,habitant des régions sablonneuse
mbaa,ou alors
Bu ñu dem,Qu'il ne parte pas
ndeke,cependant
Fas yéenen la bëgg !,C'est d'autres chevaux que je veux !
foofu,là
Doo ñëw ?,Tu ne viendras pas ?
raõ-raõ,fracas
Góor gi Musaa dem na.,Monsieur Moussa est parti.
foofale,là tout près de toi alors
yenniy kaddu,certaines paroles
seet,regarder
araf,phonème
"Yaa õgi, dem õga","Te voila, tu as été"
addooku,science phonétique
fal,élire
Buleen dem,Ne partez pas
weddi,nier
Seeteegul,Il n'a pas encore été voir
kubéer,couvercle
Feneen fi bëttul la.,C'est l'autre endroit qui n'a pas de trou.
ñjëg,prise
Ba waa ji dee la.,C'est à l'époque où mourut cet homme.
Ci biir ! ndax mu dugg,À l'intérieur ! pour qu'il entre
Jile jigéen jan õgeen wax ?,Vous parlez de quelle dame ?
Demal ndax mu ñëw ndax it mu génn !,Vas-y afin qu'il vienne et aussi afin qu'il sorte !
Yéen ñi ci bir foofule lawoon.,C'est vous-même qui étiez là à l'intérieur.
Gis naa booba xale ?,J'ai vu cet enfant-là ?
yooyu,lesquels
kuu,que voilà
ñappati,s'embourber
gaawantu,se dépêcher
Gis õga lan ?,Tu as vu quoi ?
Ñeneen la.,Ce sont d'autres.
Góor gu dem,Quel homme est parti ?
Ñun ñii lay set.,C'est nous-même qu'il cherche.
coppeeku,changement
kandar,vase qui sert à mesurer
gannaaw,excepté
foofu,alors à ce moment
Su dee Lawbe,S'il est Laobe
mag,grand
xajal,faire de la place à
Daõga dem ?,Tu iras ?
xéewal,bonne fortune
"Góor gee ni nit la, soo demee !","C'est l'homme qui a soutenu qu'il est sain d'esprit, peut-être !"
Demal ci moom !,Va jusqu'à lui !
Muu xar duuful ?,Ce mouton n'est pas gras ?
neex,agréable
lile,ceci
ñennu nit,quelques-uns parmi les hommes
Wax jépp,Tout le propos
uuf,prendre sur ses genoux
Gis naa doomi jigéen ja.,J'ai vu les enfants de la dame.
Foofu õga dem fu.,Là où tu as été là.
fale,là-bas
Negal ba ëlëk !,Attends jusqu'à demain !
goreel,libération
Loo jënd ?,Qu'as-tu acheté ?
Gisoon naa xar yi yépp.,J'ai vu tous ces moutons-ci.
Té jëm ?,Où vas-tu ?
Gis naa nit ki.,Je vois l'homme.
Bi mu dee dem,Du fait qu'il doit partir
Dem naa ba ci moom.,J'ai été jusqu'à lui.
"Sa jarbaat yi, jenn gënu kë ci tayel.",Aucun de tes neveux n'est aussi paresseux que celui-là.
xéewlu,bénéficier d'un sort favorable
tàkk,s'allumer
ndax,est-ce que
kooka,celui
li woon,le fait passé
daj,atteindre
"Waaye, kenn demul","Malheureusement, nul n'a été"
waaw,et puis
Sëriñ bi ñaan na mayewoon alalam ji ba mënkóon yalwaan.,"Le marabout implora qu'il fût dans la situation de quelqu'un qui aurait fait don de sa fortune, pour être en mesure de demander l'aumône."
Ci fii ?,Par ici ?
"Kon nag, dàwul !","Dans ce cas, fuis !"
Ñeneen lañu.,"Autres, ils sont."
Seetal nit keneen !,Cherche un autre homme !
waa joor,habitant de l'Hinterland
Bi õga dee dem,Au moment où tu partais
"Wande it, xale yi dañu soxor.","Mais, les enfants sont toute-fois méchants."
duggu,s'imposer à quelqu'un
loolu doõõ,cela seulement
amal,obtenir quelque chose pour quelqu'un
"Foofu, góor gi mer.","Alors, l'homme se fâcha."
dar,usé par frottement
Foofee fan ?,Où ?
fuu,ici
daf,souder
mbóoleem-addu,entité phonique
Ku la may bii téere ?,Qui t'a donné ce livre ?
Moo dem,C'est lui qui est parti
Yobul na ka õgoon ca tool ya.,Il lui a amené du fourrage au champ.
Defewoon naa góor gi mag la te ndaw si nit la !,Je croyais que l'homme était mûr et que la femme était saine d'esprit !
sap,chanter (coq)
Xammeewoon naa jigéen joojale !,J'avais reconnu cette dame-là !
Seet õga buu néeg ?,Tu as regardé dans cette chambre-ci ?
"Waaw, waaw ndax dem na ?","Eh bien, est-ce qu'il est parti ?"
jitu,devancer
Gisoon naa ñooñale nit ñan.,J'ai vu ces gens.
fattaliku,se rappeler
wante itam,mais aussi
Sarxe baaxkoon na !,L'aumône eut été une bonne chose !
na ma,que je
Góor gii bëggóon,Cet homme qui voulait
lakk,brûler
moom-sa-réew,indépendance
Gor gi dem ?,L'homme peut-il partir ?
Gis õga nit ka ?,Tu as vu l'homme ?
muu,celle-ci
Ci biir soo bëggul !,À l'intérieur si tu ne veux pas !
tamm,avoir pris l'habitude de
"Noona Gelwar bi, buur bi, daldi ni tekk.",Alors le roi Guelwar s'immobilisa.
"Góor gee ni, soo demee, mi õgi fi !","C'est l'homme, certainement, qui a dit qu'il est là !"
Berëb bi du foofu.,L'endroit ce n'est pas par-là.
Fabal benn bii bépp !,Prends l'un en entier !
Daõõar,nom
moom nag,ainsi
ci,sur
yooyale,celles-là
xamadi,ignorance
Bëgg naa õga dem te it õga noppi !,Je veux que tu partes et aussi que tu te taises !
Lu waral ?,"Qu'est-ce, qui est la cause ?"
Réew mi am na alal ndax ?,Est-ce que le pays a des richesses ?
Mi õgii dem ba delusi,Voilà qu'il a été et qu'il est revenu
Gis naa ki woon.,J'ai vu celui en question.
Nit dem na !,Un homme est parti !
Na dugg ci biir su bëggée !,Qu'il entre à l'intérieur s'il veut !
Xar yenn yooyu laa wax !,Je parle des autres moutons !
yi,lesquels
ñépp,la totalité
Yaa ka gis moom.,"C'est toi qui l'as vu, lui."
Jigéen ji ag góor gi ñjool lañu.,La femme et l'homme sont de haute taille.
Góor gi ragal na juubuwoon.,L'homme craint d'avoir interrompu son jeûne par inadvertance.
Xar yenn yooyu laa wax !,Je parle de ceux-là !
ñooña,lesquels
moontin,et pourtant
"Mi õgi fi, soo demee !","Il est là, peut-être !"
waxtu,se parler
Dem,Partir
Ndax lan am ?,Afin qu'il se passe quoi ?
Góor gi di dem,L'homme partant
lépp loolu woon,tout cela
Ku def lii,Qui a fait ceci ?
wante,cependant
ñennu nit,certaines gens
guy,baobab
waxaalelu,faire marchander
Su demee,S'il part
Ana boroom kër gi ?,Où est le maître de maison ?
Kenn nit réerul.,Aucun homme ne s'est égaré.
Waxal ak ñooñule !,Parle avec ceux-là !
Yaa ñëwkóon,C'est toi qui serais venu
Demna saõx.,Il est parti il y a un instant.
kile,celle-ci
wàt,traîner
leneen li,l'autre
duggo,frayer ensemble
kookuu,celle-ci près de toi
Ci ki ñëw ba ñu xammee ka.,Chez celui qui est venu et qu'on a reconnu.
Õgor dem ?,Ngor peut-il partir ?
Gisu leen leen woon,Vous ne les aviez pas vus
Nit lañu !,Nous sommes des hommes !
Waa ji day waxe bakkan.,L'individu parle avec son nez.
Nileen ka,Dites-lui
Ku bëgg bii téere ?,Qui veut ce livre ?
Li mu defkoon,Ce qu'il aurait à faire
Wut leen ci biir,Cherche-les à l'intérieur
Ci bir sax ?,À l'intérieur même ?
Daõgeen di naõgu mbaa du dem !,Vous acceptez ou il ne part pas !
Loolu doõõ doyul,Cela seulement ne suffit pas
Góor gi dana dem,L'homme ira
Bëgg naa õga ñëw mu dem su õgeen noppée !,"Je veux, si vous avez fini, que tu viennes et qu'il parte !"
Bëgg õga lan ?,Tu veux quoi ?
Demõga ?,Tu pars ?
Dem õgeen...,Vous êtes partis...
Samba õga woo ?,C'est Samba que tu appelles ?
Nit ku baax la.,C'est un homme gentil.
Demuma,Je n'irai pas
Kooku la xale yiy wax ?,C'est de celui-là que parlent les enfants ?
jolof,pays wolof
Góor gi rekk a ñëwul.,L'homme n'est pas venu.
Soo dee góor,Si tu es un homme
mokk,être pulvérisé
Seetal ndaw seneen !,Cherche une autre jeune fille !
Gor gi dafa demul ?,"L'homme, il n'est pas parti ?"
mii,celui-là
om,être maigre
jamaale,concurrent
yewwi,détacher
"Maa fiy nekk tày ci õgoon, tày ci suba !",Ce matin ou ce soir c'est moi qui suis ici !
saõg,recouvrir
Gis õga kookale,Tu as vu celui-là ?
"Moontin dey, gis naa ka","Et pourtant, je l'ai vu"
Am na ay xar.,Il a des moutons.
"Noona góor gi dugg, xale yi gis ka, mu toog, ñépp toog.","Alors l'homme entra, les enfants le virent, il s'assit, tous s'assirent."
def,faire
Naka õgeen bëggé góor gi dimëlé leen ?,Comment voulez-vous que l'homme vous aide ?
Dafa di dem.,C'est lui qui part.
"Te sax, ma õgii dem !","D'ailleurs, je m'en vais !"
walla,ou bien
Demleen !,Allez !
La õga wax la.,Ce que tu as dit.
moomu,lequel
Nil waa ji na ñëw,Dis à la personne qu'elle vienne
gën,être meilleur
Góor gaa õgoogule ndax kenn bañ génn !,Voilà l'homme ainsi nul ne bougera !
Koo woowul ?,Qui n'as-tu pas appelé ?
Waaw ci bir !,Oui à l'intérieur !
Ex !,Oh !
Ana kooku,Où est celui-là ?
Õga dem õga bañ dem dana ñëw !,Il viendra que tu veuilles ou non !
Gor gii dem ?,Que cet homme parte ?
Demuma fa woon,Je n'y avais pas été
Dëkku Séeréer bii la.,C'est la ville de ce Sérère.
Jigéen jan a réer ?,Quelle femme s'est égarée ?
"Xammee õga sa far, woowee woon ?",Tu reconnais ton amour d'autrefois ?
Gët,Yeux
rafet,pour la beauté
tus,rien
Bumi bi du fi buur.,Le prétendant n'y est pas roi.
Góor gi waxtaan na ag yaw.,L'homme a parlé avec toi.
"Waaye sax, kenn dafa dul dem","Du reste, nul n'ira"
mee,celui-là
deg,épine
"Moom daal, ñépp ñibbisi nañu.","Mais, c'est tout le monde qui est rentré."
arafu ndorte,phonème initial
jolof,pays du Lof
Gis naa ka woon.,J'ai vu celui-là.
Góor gu baax réer na !,Un homme vertueux a disparu !
Demal !,Va !
Fo jëm,Où vas-tu ?
ñaari goroõi,aller danser le naari
Bëgguma,Je ne veux pas
xàmb,lieu de culte
Xar menn réerul.,Aucun mouton ne s'est égaré.
nii,ceux-ci
Góor gi demul,L'homme n'a pas été
Noona mu dem,Alors il partit
baq,terre humide
ndax,grâce à
Kër Biraayim la.,C'est la maison de Birayim.
Xanaa doo dem ?,"Donc, tu ne partiras pas ?"
Jambaar du bare wax.,Un homme de courage n'abonde pas paroles.
Li mu defkoon,Ce qu'il eût fait
Keneen õga.,"Un autre, tu es."
Demkoon õga,Tu serais parti
Xale ya mbër lañu fa woon !,Les gosses y furent formidables !
gaddaay,émigration
Ci foofu õga taxaw,Là où tu es
maccaat,suçoter
loolee,cela
waaye,mais
jëxi,être sur le point de s'épuiser
képp,tout
nuu,comme ci
"Faatim la, tay.","C'est Fatim, aujourd'hui."
nile,de cette manière
amal,trouver quelque chose
Seen lawbe ba woon la !,C'est votre bûcheron d'autrefois !
Fas yeneen yan õga gis ?,Quels autres chevaux as-tu vu ?
Yéen ñan la wax ?,Il parle de vous ?
Loolu laa bëgg !,C'est là ce que je veux !
fontu,manquer de sérieux
Yeneen xar yi yépp daw.,Tous les autres moutons fuirent.
Set na ci biir ak ci biti itam.,Il a cherché à l'intérieur et à l'extérieur aussi.
atté,séparer
Ma def lan ?,Que dois-je faire ?
Dama dem,C'est que j'ai été
Séen naa ak nit.,J'ai aperçu un homme.
ñooñii,celles-ci
Kañ õga ka gis ?,Quand l'as-tu vu ?
Siré ñaanal na Umar mi taxaw.,Cire a prié pour Oumar qui se tient-là.
ñaari goroõ,figure de danse
juutu,se renverser
Seeti ka !,Va le voir !
"Defe naa du kookuu, du kookee... !","Je crois que ce n'est pas celui-ci, ce n'est pas celui-là... !"
Te nag õgeen dem ñibbi !,Surtout rentrez chez vous !
"Ci fii, ba ma ñëw","Ici, jusqu'à ce qu'il vienne !"
Nit ñenn ñi yegseeguñu.,Certaines personnes ne sont pas encore arrivées.
moontin,quoi qu'il en soit
tiit,peur
waalo-waalo,habitant du Oualo
ratt,traire
Gis naa kër xaritam.,J'ai vu la maison de son ami.
gisé,entrevue
ñar,enduire
Musaa,Moussa
Dafa bëgg xaalis.,C'est qu'il veut de l'argent.
Xammee õga bee xale ?,Tu reconnais cet enfant-ci ?
gor,noble
dindéeku,lâcher
taq,se tâcher
Yaa õgi demuloo,"Toi, tu n'as pas été"
dek,épine
Yeewal bépp xar !,Attache tout mouton !
Keneen nit kooka la wax.,Il parle de l'autre homme.
Faatim la soo demee !,"C'est Fatim, si on va au fond des choses !"
nax,tromper
Dóor na ka ba mi õgi.,Il l'a battu à tel point qu'il est là.
gannaaw,sauf
Dem õga,Tu es parti
looli,le fait que
wér,être guéri
Yaral xar !,Élève un mouton !
faji,aller soigner
Xoolal gii garab !,Regarde cet arbre !
ñuulbiir,méchanceté
Keneen kan la ?,"Qui, est-ce d'autres ?"
okkatu,se gratter
jigéen,femme
Góor dem na,Un homme est parti
wer,ver de terre
"Mii maa ka moom, waaye moomule deey, xawma fu mu bokk.",Celui-ci est à moi mais j'ignore d'où provient cet autre-là.
noonee,comme cela
jiu,semence
Duõgeen lekk,Vous ne mangez pas
doñj,boule de couscous
aajo,serviabilité
wàñoo,se disputer
Ndax kan dem ?,Afin que parte qui ?
su,si
Waxkoonuñu,Nous n'aurions pas parlé
Ma ngii dem,Voilà qu'il est parti
lii,ceci
sañc,bâtir une ville
Ci biir.,À l'intérieur.
demuloo feneen,tu ne vas pas ailleurs
Mu õgooguu di dem,"Le voilà, là-bas, qui s'en va"
Daõga daawul liggéey.,Tu ne travaillais pas d'habitude.
nob,aimer
kaddu,parole
"Ci biir la, ci biir a biir la !","C'est à l'intérieur, à l'intérieur même !"
Nuyul më ñépp te maarel ma bu baax ñooña õga dajeeloon.,Mon salut à tout le monde mais surtout honore de ma part ceux-là que tu rencontras.
ag itam,et encore
"Cii fii kon, soo bëggul !","Ici alors, si tu refuses !"
takk,s'enflammer
Wattaliwuma la ka woon.,Je n'avais pas été te le cueillir.
"Wax ji yépp, bañ-õga-ñëw la.","Tout ce bavardage, c'est pour que tu ne viennes pas."
dab,rejoindre
Foofu õga dem fu.,Là-même où tu as été.
Xoolal mbër mu.,Regarde ce lutteur.
te,or
bëggante,amour
wày,louer
Xolal fépp !,Fouille en tout lieu !
"Góor gi, moom demul !","L'homme, lui, ne s'en alla pas !"
Ci biir la ñu jëm ?,Nous allons à l'intérieur ?
fatarñi,déboucher
waa Raw,habitant de Rao
Demuma,Je n'ai pas été
Di tel-teli doõõ taxul sotal dara.,S'agiter simplement ne suffit à rien résoudre.
Nit ki ñëw,L'homme qui est venu
mayle,contribuer à un cadeau fait par quelqu'un
saq,grenier
"Bëgg naa góor ñi ñëw, xale yi ñëw, jigéen ñi toog !","Je souhaite que les hommes viennent, que les enfants viennent et que les femmes s'asseyent !"
noona nak,de ce fait
sàmp,planter
Dem nañu...,Ils sont partis...
Démal !,Va !
mooy,manquer un but
"Demal ndax mu ñëw, ndax mu meddi... !","Vas-y pour qu'il vienne, pour qu'il ne soit plus fâché... !"
Ndaje mi du gannaaw ëlëk ?,La réunion ce n'est pas après-demain ?
lepp loolu,tout cela
lekkantu,faire semblant de manger
õgëñj,indigo
Ñooñu õgeen.,Vous êtes ceux-là.
Maa demul,C'est moi qui n'ai pas été
dindéeku,se détacher
pàl,élection
ndogal,destin
"Samba, yaw, yaa dem","Samba, toi, tu as été"
"Kooka ak kile, bokkuñu !",Celui-là et celui-ci ne se ressemble pas !
Yaw daawuloo coow.,"Tu ne bavardais pas, en général."
Õgoor dem.,Mais NGor est parti.
Góor gi !,Le Monsieur !
Te õga dem kat !,Surtout pars !
jaambur jaamburlu,jouer au sage
nuyonte,se saluer
deeo,mourir ensemble
cëriñ,islam
Xam õga bii xale ?,Tu connais cet enfant-ci ?
mbootaay,association
wàll,secours
Waw kookule !,Oui celui-là !
daõal,rendre tendu
kooku,quiconque
ca,parmi
Mépp mu rëcc,"N'importe lequel, qui s'échappe"
Xammee õga jabaram joojuwoon ?,Tu as reconnu sa femme d'autrefois ?
Moo di jaõgkat bi.,C'est l'étudiant.
Yan ñoo réer ?,Lesquels se sont égarés ?
wor,trahir
mën,pouvoir
"Yaw, yaa õgi !","Toi, tu es là !"
Ana ndox mi õga duyóon ?,Où est l'eau que tu avais puisée ?
warugarloo,considérer comme une obligation
Ndar,Saint-Louis
"Ñoonu, ñu õgii.","Ceux-là, les voilà."
Góor gi gisul xale boobale woon.,L'homme n'a pas vu cet enfant-là.
waxkat,locuteur
Kookule la kookule taxaw la !,"C'est celui-là, celui-là debout !"
jóg,se dresser
Mi õgiiy !,Le voilà qui part !
gisi,aller voir
Nit ku baax la !,C'est quelqu'un de bien !
"Kooku la, te keneen la.",C'est celui-là et c'est un autre.
mpar,variété de cheval
te,mais
"Gis õga nag yii yépp, woowuu moo ci gën.","Des boeufs que tu vois, celui-là est le meilleur."
Yooyale deey bëggu leen !,"Ceux-là, il ne les apprécie pas !"
Xoolal mbër mu.,Regarde ce semblant de lutteur.
Kenn ki woon dem na,"L'un, dont il fut question, est parti"
wax,causer
Samba la ?,C'est Samba ?
Gis na seen yeneen xarit !,Il a vu d'autres amis à vous !
tiit,avoir peur
doj,pierre
Li ñu wax la.,C'est ce que nous avons dit.
Góor gi doonkoon na boroom xamxam.,L'homme eût été un savant.
dad,polir
araf,lettre
Gis na keneen ki.,Il a vu l'autre.
Wool góor gi dul dem,Appelle l'homme qui ne part pas
bañeel,ennemi
nee,comme cela
araf tëju,occlusive
Nit ñi doonkoonuñu ay kaaõ.,Les gens n'eussent pas été des maîtres.
Giséegul,Il n'a pas encore pris de contacts
"Noonu, man, më dem.","Sur ces entrefaites, moi, je quittais."
Loolule lépp ?,Tout cela ?
nuyu,saluer
Dem naa ba Ndar.,J'ai été jusqu'à Saint-Louis.
Sa bay bëggul õgeen di génn ag di wëndéelu.,Ton père n'aime pas que vous sortiez et que vous vous baladiez.
yennu nit,quelques-uns parmi les hommes
su,lorsque
góor,homme
wàyaan,louer
mbaal,filet
Góor gi dana demi,L'homme ira
Laobe lanu woon.,Nous fûmes Laobé.
Li waa ji wax,Ce que cet homme a dit
Dana ñëw soo demul ag soo demee itam.,Que tu partes ou que tu ne partes pas il viendra.
Demoon ba Ndar.,Avoir pu aller jusqu'à Saint-Louis.
Wool góor gi dul Kajgaamu fii !,Appelle l'homme qui n'est pas Kangame d'ici !
neer,mal de mer
baadolo,manant
"Defewoon na, daa dem, ci bes bi ci subë si !","Je croyais que tu irais, ce matin, ce jour... !"
Lii lan ?,Quoi ?
dëbb,piller
Nit ki ci sama wet ak nit kooku mbokk la ñu.,Cet homme près de moi et celui là près de toi sont parents.
"Góor gi dem fee, ana mu ?","L'homme qui a été là-bas, où est-il ?"
Ñéneen ñi sax demewuñu noonu !,Les autres mêmes ne sont pas si fameux !
mbay,diminutif de Babacar
lekkukaay,plat
Góor gi dana dem,L'homme partira
Ma õgee doon dem,Le voilà qui partait
fan,comment
jiyaale,semer en même temps
Waxal góor gi mu dem !,Dis à l'homme de partir !
foofu nak,alors
laõk,refuser
Fi õgeen demkoon la.,C'est là que vous seriez allés.
waru gar,prestation obligatoire
Sa baay né õga dem mba õga nibbisi.,Ton père te demande de partir ou de rester à la maison.
fap,prendre
Seetil nit ñépp !,Va voir tous les hommes !
fer,s'évaporer
"Góor gaa õgi, nitu Ndar la.","L'homme le voici, il est Saint-Louisien."
kookuu,celui-là
foofale,à ce moment-là
Menn xar ñëwul.,Aucun mouton n'est arrivé.
leen,vous
waa Ndar,Saint-Louisien
àndandoo,combinaison
Ñépp ñan õga gis ?,Lesquels as-tu vus ?
Waa ji doon Lawbe.,L'individu était un Laobe.
njamaale,concurrence
Gis naa am xar.,J'ai vu un mouton.
"Góor gee ni kookule la, soo demee !","C'est l'homme qui a dit que c'est celui-là, peut-être !"
Fu mu bëgg ?,Quelle partie ?
Lu tax ?,"Qu'est-ce, qui est la cause ?"
jigéenu wérul,femme enceinte
demaale,accompagner
ngóor,bravoure
lemu,se plier
kaaréen,petite quantité d'arachide
"Te kat, na õga ma nég !","Et surtout, attends-moi !"
baal,pardonner
Góor gan moo dem ?,Quel homme est parti ?
foofa,à ce moment
Seetal fas weneen !,Cherche un autre cheval !
Demkoon doon na ma fi war.,J'ai failli être dans l'obligation d'y aller.
ag it,mais aussi
"Kon nag dey, buleen dem","Alors, ne partez pas"
Ku teral nit la !,C'est quelqu'un qui honore l'homme !
Fee la.,C'est là-bas.
naaru góor,cheval pur sang arabe
Yaa doonkoon falu,C'est toi qui eusses été élu
ndem,le fait de partir
Ndaw si ak waa ji itam dañu bëggul déggoo,La femme et l'homme non plus ne désirent s'entendre
Dana ñëw õga bañ dem õga dem !,Il viendra que tu veuilles ou non !
Keneen kooku génn yeksiwul !,Cet autre qui est sorti n'est pas encore arrivé !
ñaaw,laid
Jox na doom ji ak yaayam séen wall.,Il a donné à l'enfant et à sa mère leur part.
Suñu xarit la !,C'est leur ami !
Kooku la !,Celui-là c'est !
nar,mentir
Giskóonuma leen,Je ne vous eusse pas vus
wàl,moudre
Nit kookuu ci sa wet.,Cet homme là près de toi.
"Mii maa ka moom, waaye moomule deey, xawma fu mu bokk.",Celui-ci est à moi mais j'ignore d'où provient cet autre-là près de toi.
Nit kooka baaxkoon la !,C'est cet homme-là qui eût été bon !
Bëgg na góor gi ñëw te mu dellusi soo demee.,"Il veut que l'homme vienne et que lui, il revienne si tu pars."
Gis na seeni xarit yooyu yépp !,Il a vu tous vos amis en question !
Kooy set ?,Qui cherches-tu ?
Kenn ki woon dem na,L'un est parti
"May na ka lëg, doomam ak nopp ya.","Il lui a donné le lièvre, ses petits et leurs oreilles."
Népp noo defe baax na !,"De toute manière, quelle que soit ta façon d'agir, c'est bien !"
Mbaa...,Est-ce que comme je le souhaite...
noonuu,comme ça
Bul bàkk ci ñooñu !,Ne fais pas partie de ceux-là !
Doom benn réerul.,Aucune clef n'est égarée.
Du bañ boo naõgoo ag it boo yaboo ci liggéey bi.,Il ne refusera pas si tu acceptes et aussi si tu t'engages dans le travail.
Moo demkoon,C'est lui qui serait allé
téeré,livre
waxaale,marchander
Foo kay def ?,Où le mets-tu ?
Ci bir : foofu di leer,À l'intérieur : où il fait clair
araf séexal,gémination
géer,homme de caste
looli,ceci
ña,lesquels
Gis õga coroom la woon ?,Tu te rappelles son amour ?
Dem naa ci keneen ku baax.,J'ai été chez un autre qui est gentil.
um,porter malchance
Góor gi di bày,L'homme cultive
Gis naa googii gan gi doon wax !,J'ai vu cet homme qui parlait !
Lof,région du Sénégal
daggat,découper
