french,wolof
Les femmes et les hommes sont de haute taille.,Jigéen ñi ag góor ñi ñjóol lañu.
Je croyais que l'homme c'était cet autre et que l'enfant c'était celui-là !,"Defewoon naa góor gi kenn ki la, te xale bi kooku la !"
L'homme y est magnifique !,Waa ji gor la fi !
Ainsi comment ?,Noonee nan ?
J'ai vu l'homme qui est venu !,Gis naa góor gi ñëw !
"Alors, ne partez pas","Kon nag dey, buleen dem"
La chose est d'une clarté lumineuse.,Lëf ki leer na nàññ.
L'homme fit : pouah !,Góor gi ni : cam !
"Aujourd'hui, le matin.","Tay, ci subë."
Où est-il ?,Ana mu ?
C'est que je veux partir,Dama bëgg dem
Celui-là !,Kooku la !
Tu es uniquement un homme !,Nit doŋŋ ŋga !
Il ne serait pas parti,Du woon dem
"C'est Fatim, aujourd'hui.","Faatim la, tay."
Le Monsieur !,Góor gi !
L'homme voudrait voir celui qui était parti,Góor gi bëgg na gis ki demoon
Qui cherches-tu ?,Kooy set ?
J'ai été,Dem naa
Le Monsieur est parti,Góor gi dem
Mais ce matin il y avait du soleil pourtant !,Mondé ci subë dafa naajoon !
J'ai vu tous vos amis en question !,Gis naa seeni xarit yooyu yépp !
Où le mets-tu ?,Foo kay def ?
"S'il ne vient pas, il verra !",Su ñëwul dana xam !
Toi et moi irons ensemble !,Man ak yaw ñooy ànd !
C'est lui qui est parti ?,Moo dem
Il a confié à la femme une valise.,Deŋk na jigéen ji walis.
Cela même que tu as fait.,Ni ŋga def noonu.
Cet homme-ci et cet homme-là ne sont pas les mêmes.,Waa jii ag waa joojale duñu benn.
Vas-y seulement !,Demal rekk !
Tu connais cet homme-là ?,Xam ŋga nit kookuu ?
Il sont d'autres.,Ñeñeen lañu.
Combien êtes-vous ?,Ñaata ŋgeen ?
Il a vu l'homme et son enfant.,Gis na góor gi ag doomam.
"Quiconque s'en va, celui-là est un froussard.","Képp ku dem, kooku raggal la."
Tu reconnais cette personne-là ?,Xammee ŋga waa joojule ?
Va voir l'homme lui-même !,Demal ça moom góor gi !
"Que tu partes ou que tu ne partes pas, il viendra.","Soo demee ag soo demul itam, dana ñëw."
Te voilà tout simplement !,Yaa ŋgoogu rekk !
C'est peut-être un lion !,"Gaynde la, ku dem !"
C'est la maison de Birayim.,Kër Biraayim la.
À l'intérieur même ?,Ci bir sax ?
C'est moi que l'homme appelle ?,Man la góor gi woo ?
Je parle de ce petit.,Xale buu laa wax.
Où est celui dont il parle ?,Ana waa ji muy wax ?
C'est l'autre cheval qui s'est égaré.,Fas weneen wu moo daw.
"Ainsi, tu vas t'en aller !",Ba yaa ŋgii di dem !
Je ne parle pas de ces enfants ?,Waxuma xale yooyale ?
Que la personne sorte ?,Ndax waa ji génn ?
L'homme a vu cet autre-là.,Góor gi gis na kookale.
S'il est Laobe,Su dee Lawbe
Je crois que ce n'est pas celui-ci !,"Du kii, defe naa !"
"Que tu partes, c'est ce que désire l'homme.","Ŋga dem la, góor gi bëgg."
"L'homme, il n'est pas parti ?",Gor gi dafa demul ?
C'est quand tu as été.,Bi ŋga demee la.
Celui-là et celui-ci n'ont rien de commun !,"Kooka ak kile, bokkuñu !"
Tu ne viendras pas ?,Doo ñëw ?
"C'est Fatim, peut-être !",Faatim la soo demee !
Je veux que l'homme vienne,Bëgg naa góor gi ñëw
C'est vous qui alliez partir,Yeena doon dem
Tu es un homme !,Nit ŋga !
Si l'homme accepte,Su góor gi bëggée
Personne n'est donc parti ?,Xand kenn demul ?
Quels couteaux se sont égarés ?,Saatu yan ñoo réer ?
C'est moi qui pars.,Maa dem.
Lequel as-tu vu ?,Jan ŋga gis?
Sois homme de vérité !,Dil nitu dëgg !
Toute la maison,Kër gépp
J'ai vu tes autres amis !,Gis naa sa xarit yeneen yi !
Je parle de cet enfant-ci ?,Xale bule laa wax ?
Cherche un autre mouton !,Seetal xar meneen !
Je partirai,Dinaa dem
C'était un Lebou.,Mu doon Lebu Yoff.
Il est venu hier et aujourd'hui.,Tay ag demb yépp ñëw na.
Il veut que tes parents viennent et surtout qu'ils le payent.,Bëgg na sa waajur ñëw te nak ñu fay kà.
"Tout ce bavardage, c'est pour que tu ne viennes pas.","Wax ji yépp, bañ-ŋga-ñëw la."
Là où il y a de la lumière,Ci biir fiy leer
"Et pourtant, il veut partir","Moontin nag, bëgg na dem"
Elles ont été quelqu'un !,Nit lañu !
Tu es un homme simplement !,Nit doŋŋ ŋga !
C'est un messager que cherche l'homme.,Ndaw la góor gi di wut.
Cet homme qui est Laobe de Saint-Louis.,Gor gii di Lawbe Ndar.
C'est Samba ?,Samba la ?
Je suis parti,Dem naa
Les autres mêmes ne sont pas si fameux !,Ñéneen ñi sax demewuñu noonu !
Tu iras ?,Diŋga dem ?
"Aujourd'hui, le matin.",Tay ci subë.
Ce fut un homme !,Nit lawoon !
Pénètre à l'intérieur ou ici !,Duggël ci biir mbaa ci fii !
Un seul est arrivé,Menn doon na ñëw
J'ai aperçu une femme.,Séen naa as jigéen.
C'est ce que tu as dit que la jeune femme préfère.,Li ŋga wax la ndaw si taamu.
Fais sortir tout homme que tu vois !,Génnéel képp nit koo gis !
La chose est d'un blanc éclatant.,Lëf ki weex na tàll.
Certaines personnes ne sont pas encore arrivées.,Nit ñenn ñi yegseeguñu.
Dis-lui qu'il ne vienne pas,Ni ka bu mu ñëw
"Tu sais, cet homme ?",Gis ŋga nit kookale ?
Qui a été ?,Ku dem ?
Où veut-il,Fu mu bëgg
C'est toi qui eusses été élu,Yaa doonkoon falu
L'homme qui devait partir,Góor gi doon dem
C'est ce que nous avons dit.,Li ñu wax la.
Qui est parti ?,Ku dem ?
Tu n'avais rien dit de cela !,Waxuloowoon ca loola dara !
Je ne parle pas de ces enfants ?,Waxuma yooyale xale ?
Je parle de toi seul.,Yaw doŋŋ laa wax.
Celui-là est parti,Kooku dem na
L'homme n'a pas vu cet enfant-là.,Góor gi gisul xale boobale woon.
"Tu ne bavardais pas, en général.",Yaw daawuloo coow.
Fais sortir tout cheval que tu vois !,Génnéel wépp fas woo gis !
Aucun autre n'est parti.,Keneen demul.
Fais sortir,Génnéel
Que tu partes ou que tu ne partes pas il viendra.,Dana ñëw soo demul ag soo demee itam.
Moi-même je n'ai pas été,Man mii demuma
C'est moi qui ai été,Maa dem
Là-bas où ?,Foofee fan ?
Ce n'est pas là une belle parole !,Jile wax rafetul !
C'est un homme qui n'est pas bon !,Nit ku baaxul la !
"Et pourtant, j'ai été","Moontin, dem naa"
Qu'il parte s'il ne veut pas !,Na dem su bëggul !
Aujourd'hui dans la soirée.,Tay ci ŋgoon.
"Si on va au fond des choses, c'est Fatim !","Soo demee, Faatim la !"
Pour qui te prends-tu ?,Ya di kan ?
J'ai acheté le mouton.,Jënd ñaa menn xar mi.
Cet homme qui aimait,Góor gii bëggóon
Lesquels se sont égarés ?,Yan ñoo réer ?
L'homme est allé à l'intérieur.,Góor gi dem na ci biir.
Où est le Monsieur ?,Ana góor gi ?
Va que l'homme te voie !,Demal góor gi gis la !
L'enfant n'a rien donné à celui-ci.,Xale bi mayul dara kii.
"Dans ce cas, je pars","Bon nag, maa ŋgi dem"
Il t'avait remis la taxe,Joxoon na la juuti bi
C'est ceux-là qui n'eussent pas été,Ñee dañu demulkoon
"L'homme le voici, il est Saint-Louisien.","Góor gaa ŋgi, nitu Ndar la."
Quelle jeune fille s'est égarée ?,Ndaw san a réer ?
Sois poli !,Àndal ak yar !
Ce qu'il aurait à faire,Li mu defkoon
C'est son ami !,Xaritam la !
Cet homme qui voulait,Góor gii bëggóon
"Je l'ai appelé, aussi est-il là","Woo naa ka, ba mi ŋgi"
Va les voir !,Gisi leen !
J'ai vu mes autres amis !,Gis naa sama xarit yeneen yooyuu !
Ce mouton-là en entier.,Xar moomule mépp.
Rappelle Moussa qui s'en va,Wooyil Musaa moom mi di dem
Que cet homme parte ?,Gor gii dem ?
Oui celui-là !,Waw kookule !
C'est un homme de son époque.,Dafa di nitu tay.
À l'intérieur de cette maison,Ci biir kër googule
L'homme qui parle,Góor gii di wax
"Te voilà, là.",Yaa ŋgoogule.
C'est à l'intérieur que vous allez ?,Ci biir ŋgeen jëm ?
C'est un autre qui est venu ?,Keneen la ku yeksi ?
Ta mère dit qu'elle viendra ce soir.,Sa yay nee na ci ŋgoon dana ñëw.
J'ai été quelqu'un !,Nit laa !
Il lui a amené du fourrage au champ.,Yobul na ka ŋgooñ tool ya.
"Il est entrain de parler, peut-être !","So demee, mi ŋgiy wax !"
C'est moi qui n'aurais pas été,Maa demulkoon
Tu vois ce garçon-là ?,Gis ŋga xale bii ?
L'homme n'apprécie pas votre cuisine du Saloum.,Góor gi soppul seen lekku Saalum yooyu.
Il a vu l'autre.,Gis na keneen ki.
L'homme a donné quelque chose à quelqu'un.,Góor gi may na dara nit.
Vous avez été quelqu'un !,Nit ŋgeen !
"D'ailleurs, on ne peut rien y voir.","Te nag, kenn manu fi gis dara."
L'autre homme est venu.,Nit keneen ki ñëw na.
Tu connais cet enfant là-bas ?,Xam ŋga xale bee ?
Les hommes sont des paresseux et les femmes ne savent pas écouter.,Góor ñi dañu tayel te jigéen ñi du ñu deglóo.
J'ai aperçu des gens.,Séen naa ay nit.
Allez là-bas !,Demleen foofu !
J'ai vu tous tes amis !,Gis naa sa xarit yépp !
"Je souhaite que les hommes viennent, que les enfants viennent et que les femmes s'asseyent !","Bëgg naa góor ñi ñëw, xale yi ñëw, jigéen ñi toog !"
Surveille-moi ceux-là !,Seetal ma ñenn ñuu !
C'est l'homme qui n'était pas le maître de maison !,Góor gi moo dulwoon boroom kër gi !
Il demande si tu aurais été,Mi ŋgiy laaj ndax demkoon ŋga
C'est celui-là tout simplement !,Kooku rekk la !
Lorsqu'il a été,Bi mu demee
Ce n'est pas un grand tambour.,Du sabar gu rëy.
Que personne n'est parti,Mbaa kenn demul
Tu avais vu cette femme ?,Gisóon ŋga jigéen joojule ?
Elles furent Laobé.,Laobe lañu woon.
Je parle de cet autre homme que voilà !,Nit keneen kaa laa wax !
Qui ne serait pas allé,Ku demkoonul
Quels amis sont arrivés ?,Xarit yan ño ñëw ?
"Les voilà, là-bas.",Ñu ŋgoogee.
Un homme de courage n'abonde pas en paroles.,Jambaar du bare wax.
Mes amis !,Samay xarit !
Quelle femme s'est égarée ?,Jigéen jan a réer ?
Ceux-là n'ont pas été,Nee dañu demul woon
Quels autres chevaux as-tu vu ?,Fas yeneen yan ŋga gis ?
C'est le bûcheron !,Lawbe bi la !
Ce n'est pas gentil pour l'autre.,Ñaaw na ndax keneen ki.
"Si tu pars, il vient.","Soo demée, mu ñëw."
"Le voilà, il est parti",Mi ŋgii dem na
"Mets-toi n'importe où, où il fait clair !","Toogal fépp, fu leer !"
J'ai vu Samba.,Gis naa Samba.
Vous êtes des enfants seulement !,Xaleel rekk ŋgeen !
Le maître souhaiterait avoir donné toute sa fortune pour pouvoir demander aujourd'hui l'aumône.,Sërin bi bëgg na mayewoon alalam ji ba mënkoon yalwaan tay.
La dame voudrait bien que vous ayez mais aussi que vous donniez.,Jigéen ji bëgg na ŋgeen am waaye it ŋgeen di maye.
Où a-t-il été ?,Fu mu dem ?
J'ai été chez un autre qui est gentil.,Dem naa ci keneen ku baax.
"Hier, aujourd'hui, avant-hier","Tay, demb, bërki demb"
Je cherche celui qui s'est échappé.,Benn bi rëcc laay seet.
L'homme est un Saint-Louisien.,Góor gi nitu Ndar la.
Pourquoi ?,Lu waral ?
Quoi ?,Lii lan ?
J'ai travaillé jusqu'au soir.,Liggéey naa ba ci ŋgoon.
C'est un autre cheval que je veux !,Weneen fas la bëgg !
Il est parti,Dem na
Il ne t'avait pas remis la taxe,Joxu la woon juuti bi
Ne partons pas !,Bu ñu dem !
Est-ce comme je le crains que... !,Mbaa... !
Elles sont partis,Dem nañu
Il a des moutons.,Am na ay xar.
Du reste la générosité est une bonne chose dans la vie.,Te dey addina laabiir dafa ci baax.
L'homme qui partait,Góor gi doon dem
Prends la totalité !,Jëlël lépp !
"L'homme a dit que c'est celui-là, peut-être !","Góor gee ni kookule la, soo demee !"
La chose est d'un noir obscur.,Lëf ki ñuul na kukk.
De quelle manière ?,Noonee nan ?
J'ai vu l'homme qui était parti à Saint-Louis et auquel tu prêtas ta pirogue.,Gis naa góor googu demoon Ndar te ŋga abaloon ka sa gaal.
J'ai vu tous ces gens.,Gisoon naa nit ñooña ñépp.
Le village de tout Sérère est propre !,Dëkku béppu Séeréer set na !
Change-les à tel point qu'ils soient autres et que leur opinion aussi soit toute autre.,Soppi leen ba ñu di ñeñeen te seeni xalaat di leneen.
Le voilà qui part !,Mi ŋgii di dem !
C'est moi qui vais partir,Maay dem
C'est peut-être Fatim !,Faatim la soo demee !
Monsieur Moussa est parti.,Góor gi Musaa dem na.
Les moutons noirs seront retrouvés.,Xar yu ñuul dinañu feeñ.
C'est toi qu'elle veut.,Yaw la bëgg.
C'est l'étudiant.,Moo di jaŋgkat bi.
Va jusqu'à lui !,Demal ci moom !
"L'autre, celui qui est arrivé !","Keneen, ki ñëw !"
Il l'a battu à tel point qu'il est là.,Dóor na ka ba mi ŋgi.
Va jusqu'à demain !,Demal ba subë !
C'est un bûcheron.,Aw lawbe la.
S'il avait été,Su demoon
C'est un homme gentil.,Nit la ku baax.
Qu'il entre à l'intérieur s'il veut !,Na dugg ci biir su bëggée !
L'homme t'eût vu,Góor gi giskoon na la
Quels moutons sont arrivés ?,Yan xar ñoo ñëw ?
Personne n'était venu,Yéena dikkulwoon
"Tout ce verbiage, c'est pour que tu ne viennes pas.","Wax ji yépp, bañ-ŋga-ñëw la."
L'homme t'a dit ici il y a un instant : dehors !,Góor gi nee na la fi saŋx : ci bitiMark[ !] !
Ce mouton-ci en entier.,Xar mii mépp.
Il a dit à Moussa quelque chose.,Wax na Musa dara.
"Mais, nul ne lui a prêté oreille.","Wande nag, kenn dégluwu ka."
Ce fut un homme !,Nit la woon !
Va le voir !,Seeti ka !
"J'ai vu celui-là, auparavant.",Gis naa kooku woon.
Tu vois cet homme là-bas ?,Gis ŋga nit kale ?
Quelle autre chose ?,Leneen lan ?
Quel mouton ?,Xar mépp man ?
"Des boeufs que tu vois, celui-là est le meilleur.","Gis ŋga nag yii yépp, woowuu moo ci gën."
Le prétendant n'y est pas roi.,Bumi bi du fi buur.
Donne le travail à un autre !,Joxal liggéey bi kenn !
Comment ?,Naka ?
"Mais, celui qu'il voit, meurt.","Waaye de, ku mu gis, ŋga de."
"Ici, jusqu'à ce qu'il vienne !","Ci fii, ba ma ñëw"
Je n'aurais pas été,Demkoonuma
L'homme craint d'avoir interrompu son jeûne par inadvertance.,Góor gi ragal na juubuwoon.
Ce n'est pas un homme.,Du góor.
Ne partez pas !,Buleen dem !
Un homme de bien ne ment pas !,Góor dëgg du fen !
Qui as-tu vu ?,Ko gis ?
C'est toi qui avais l'habitude d'aller,Yaa daawoon dem
"C'est l'homme, certainement, qui a dit qu'il est là !","Góor gee ni, soo demee, mi ŋgi fi !"
Tu vois ce garçon-là ?,Gis ŋga xale bii woon ?
Je veux que tu partes et aussi que tu te taises !,Bëgg naa ŋga dem te it ŋga noppi !
Ils ne vont pas manger,Duñu lekki
La réunion c'est à l'intérieur.,Ndaje mi ci biir la.
Le désir non exaucé de vous voir partir.,Bëggóon ŋgeen dem rekk.
Nous fûmes Laobé.,Laobe lanu woon.
Ce matin ou ce soir c'est moi qui suis ici !,"Tày ci suba, tày ci ŋgoon ma fiy nekk !"
Il m'a vu moi !,Gis na ma man !
Cela que tu as fait.,Ni ŋga def noonu.
Nourris cette vache-ci !,Mayal nag wile !
Cet homme là près de toi.,Nit kookuu ci sa wet.
C'est ce qu'il a dit qui est vrai !,Li mu waxoon la !
"Tu vois, ce garçon-là ?",Gis ŋga xale bii woon ?
J'ai failli être dans l'obligation d'y aller.,Demkoon doon na ma fi war.
Il a tué les lionnes.,Ray na gaynde yu jigéen ya.
Tu es parti,Dem ŋga
Cela c'est un baobab.,Loolu di guy.
Je veux que tu viennes le matin à cinq heures dans la fraîcheur !,"Bëgg naa ci juróomi waxtu, ci subë, ŋga ñëw !"
Tu reconnais cet enfant-ci ?,Xammee ŋga xale bee ?
Il avait l'habitude de sortir.,Daan na di génn.
C'est celui-là !,Kooku la !
Nul n'a été,Kenn demul
Les travailleurs c'était les enfants.,Liggéeykat ya xale ya la woon.
"Toi, tu es là !","Yaw, yaa ŋgi !"
Élève des moutons !,Yaral xar !
C'est vraiment un homme !,Nit la ci lu wér !
J'espère que personne n'est parti,Mbaa kenn demul
Donne le travail à un autre !,Joxal kenn liggéey bi !
C'est l'homme qui ne t'a pas vu,Góor gi moo la gisul
Moussa seulement !,Musaa rekk !
Ne pars pas !,Bul dem !
À l'intérieur si tu ne veux pas !,Ci biir soo bëggul !
"Sur ces entrefaites, je me tus.","Noonu itam, ma noppi."
"C'est quelqu'un que j'apprécie, celui qui est parti !",Kooku dem ku më bëgg la !
Tu parles de qui d'autre ?,Keneen kan ŋga wax ?
Et ne viens surtout pas à l'école !,Te bul ñëw jaŋgu ba de !
L'homme veut que tu ailles et qu'il vienne.,Dans góor gi bëgg na ŋga dem te mu ñëw.
C'est lui qui serait allé,Moo demkoon
En voilà un.,Kenn a ŋgi.
Tu reconnais cet enfant-ci ?,Xammee ŋga bee xale ?
"Ceux-là, les voilà.","Ñoonu, ñu ŋgii."
L'homme est allé aux champs.,Góor gi dem na ca tool ya.
Ce n'est pas le tambour !,Du sabar gi !
Va voir tous les moutons !,Seetil xar yépp !
Tes parents et tes amis viendront,Sa xarit yi ag sa mbokk yi danañu ñëw
Où as-tu été initié en sciences occultes ?,Foo jaŋge xërëm ?
C'est cet autre cheval là-bas qui est bon !,Fas weneen wale moo baax !
Ce que cet homme a dit,Li waa ji wax
Il ne s'est pas mêlé à eux.,Dogul cu seen biir.
C'est cette femme qu'il accompagnait qui est Ngone.,Jigéen joojule mu àndaloon mooy Ngóone.
J'ai vu l'enfant.,Gis naa xale ba.
Cherche une autre chose !,Seetal lëf leneen !
C'est peut-être celui-là !,Kookule la soo demee !
De beaux yeux !,Ay bët yu rafet !
J'ai vu la maison de son ami.,Gis naa kër xaritam.
S'il part,Su demee
J'espère que personne n'est parti,Kenn demul mbaa
L'homme est sain d'esprit.,Góor gi nit la.
Il doit partir.,Dafa di dem.
J'ai aperçu des choses.,Séen naa ay yëf.
Cherche une autre maison !,Seetal néeg beneen !
Cet homme qui part,Góor gii di dem
Il est peut-être entrain de parler !,"So demee, mi ŋgiy wax !"
Des amis à moi !,Samay xarit !
Quand il partira,Su dee dem
"Aujourd'hui, ne sors pas !","Tay jii, bul dem !"
Je t'ai vu avec lui !,Gis naa la yaak moom !
Tu as vu tes autres amis ?,Gis ŋga sa xarit yeneen yi ?
L'homme dont parle cet individu,Góor gi waa ji wax
C'est qu'il s'agit d'autre chose.,Dafa di leneen.
J'ai vu mon ami !,Gis naa sama xarit bi !
Aucun cheval ne s'est égaré.,Fas wenn réerul.
Aucune dame ne s'est égarée.,Jigéen jenn réerul.
Que tu approches !,Ba ŋga ñëw rekk !
L'individu devait partir,Waa ji demkoon na
C'est qu'il veut de l'argent.,Dafa bëgg xaalis.
Toute la chambre,Néeg bépp
Arrache ces dents-là !,Wekkil gëñ yii !
C'est là jusqu'à ce qu'on trouve un autre endroit.,Ci fii la ba ba ñuy gis feneen.
Je crois que c'est l'autre !,"Keneen ki la, defe naa !"
Cet homme qui a été,Góor gii demoon
À qui as-tu donné de l'argent ?,Koo jox xaalis ?
Tu es qui ?,Ya di kan ?
"Toi, tu n'as pas été",Yaa ŋgi demuloo
Moi je partirai,Dama di dem
C'est toi qui n'a pas été,Yaa demulwoon
Quel moutons est égaré ?,Xar man moo réer ?
Comment vas-tu ?,Naka ŋga def ?
L'homme qui vint s'en est allé,Góor googule ga nëwoon dellu na
Que l'homme parte et que les enfants entrent !,Góor gi dem te xale yi dugg !
Cherche un autre homme !,Seetal nit keneen !
Aucune clef n'est égarée.,Doom benn réerul.
C'est celui-là.,Kile la.
Est-ce que le pays a des richesses ?,Réew mi am na alal ndax ?
Afin que qui parte ?,Ndax kan dem ?
Sois l'homme de tout le monde !,Dil nitu nit ñi !
Tu parles de quelle maison ?,Bii néeg ban ŋga wax ?
"Ainsi, ma mère n'a pu te voir","Ba nag, sama yaay fafu la gis"
"Il l'a vu, lui, Moussa !","Gis na ka, moom, Musâ !"
Tous ceux-là doivent partir !,"Ñooñu, ñépp dañuy dem !"
"S'il parle, je viens",Su waxee më ñëw
"Ici alors, si tu refuses !","Soo bëggul, ci fii kóon !"
Il n'a pas encore été,Demagul
Je t'ai vu,Gis naa la
Comment ?,Na ?
L'enfant dit d'entrer pour qu'il vous voie.,Xale bi ne ŋgeen dugg mu gis leen.
"Mais, même moi, je ne viendrai pas !",Waaye man sax dama dul ñëw !
"Vas-y pour que ce soit autre chose, que ce soit ailleurs !","Demal, ndax mu di, leneen, mu di feneen !"
Un homme tout simplement ne saurait l'effrayer.,Nit doŋŋ tiitëlu ko.
Ce n'est personne.,Du kenn.
C'est là-bas.,Fee la.
Oui Samba !,Waaw Samba !
Tout ce discours,Wax jépp
Un homme n'a été,Góor demul
Les gens en eussent été morts.,Góor ñi deekoon nanu.
Tu aurais conversé avec qui d'autre ?,Waxtaan ŋga ag keneen kookule kan ?
"Le voilà, là, tout simplement.",Mi ŋgi noonu rekk.
Celui-là et celui-ci ne se ressemble pas !,"Kooka ak kile, bokkuñu !"
La dame voudrait bien que vous ayez des richesses mais aussi que vous donniez.,Jigéen ji bëgg na ŋgeen am waaye it ŋgeen di maye.
Je l'ai vu par ici !,Gis naa ka fii !
"L'endroit, où l'homme est parti, est beau.","Foofu, góor gi dem, fu rafet la."
Je ne vous eusse pas vus,Giskóonuma leen
Ahmet a vendu le pur-sang que David possédait.,Amet jaay na naaru-góoru Daawuda wa woon.
C'est ces livres-là qu'il m'a donnés.,Yee téere la ma jóox.
C'est là ce que je veux !,Loolu laa bëgg !
Quels moutons t'appartiennent ?,Xar yooyu yan ŋga moom ?
Regarde ce lutteur.,Xoolal mbër mu.
"C'est Fatim, dit-il.","Faatim la, mu ni."
Toute cette partie.,Xar woowalé wépp.
L'homme affirme qu'il est là.,Góor gi nee mi ŋgi fi.
Cherche une autre jeune fille !,Seetal ndaw seneen !
"Ceux-là, il ne les apprécie pas !",Yooyale deey bëggu leen !
Tu as dit cela.,La ŋga wax la.
Quels moutons avais-tu achetés ?,Xar yii yan ŋga jënd ?
Il est « excessivement » courageux !,Jambaar la ba mu ëpp !
"En fait, le monde a changé de nos jours.","Moom daal, léegi addina dafa soppeeku."
Il est parti.,Dem na.
Qui est parti ?,Kan dem na ?
